PropType,nbhd,Style,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Lg Apartment,6980.0,AP4 (Conv Apt with 21 or more Units),3.0,1966.0,0.0,80415.0,87,1.0,0.0,0.0,104980.0,2019-08-29,4916667.0
Lg Apartment,6980.0,AP4 (Conv Apt with 21 or more Units),3.0,1966.0,0.0,80415.0,87,2.0,0.0,0.0,104980.0,2019-08-29,4916667.0
Residential,800.0,Res O/S 1 Story,1.0,1929.0,4.0,1125.0,1,2.0,1.0,1.0,101059.0,2021-10-08,250000.0
Commercial,6202.0,Warehouse Building - 1 Story,1.0,1973.0,0.0,27940.0,5,0.0,0.0,0.0,100188.0,2019-09-13,1300000.0
Commercial,6420.0,Warehouse Building - 1 Story,1.0,1958.0,0.0,42744.0,1,0.0,0.0,0.0,99926.0,2021-06-18,800000.0
Residential,240.0,Residence O/S,2.0,1914.0,9.0,2555.0,1,5.0,1.0,0.0,90605.0,2019-05-31,230000.0
Commercial,6420.0,Warehouse Building - 1 Story,1.0,1964.0,0.0,50428.0,2,0.0,0.0,0.0,87555.0,2021-06-10,1420000.0
Commercial,6208.0,Warehouse Building - 1 Story,1.0,1998.0,0.0,9080.0,1,0.0,0.0,0.0,87120.0,2019-08-02,650000.0
Residential,440.0,Colonial,2.0,1979.0,8.0,2303.0,1,4.0,2.0,1.0,84071.0,2019-07-18,237500.0
Commercial,6202.0,Warehouse Building - 1 Story,1.0,1993.0,0.0,11313.0,2,0.0,0.0,0.0,83635.0,2021-01-25,625000.0
Residential,800.0,Colonial,2.0,1992.0,7.0,2428.0,1,3.0,2.0,1.0,80150.0,2019-04-16,255000.0
Residential,240.0,Residence O/S 2sty+,2.0,1862.0,5.0,1120.0,1,1.0,1.0,0.0,79715.0,2020-08-14,173000.0
Commercial,6420.0,Warehouse Building - 1 Story,1.0,1959.0,0.0,44353.0,1,0.0,0.0,0.0,77101.0,2019-10-01,400000.0
Commercial,6451.0,"Store Building - Single tenant, 1 story",1.0,1983.0,0.0,12000.0,1,0.0,0.0,0.0,75993.0,2020-03-17,1116100.0
Commercial,6420.0,Warehouse Building - 1 Story,1.0,1978.0,0.0,36020.0,4,0.0,0.0,0.0,75184.0,2020-03-09,1625000.0
Commercial,6208.0,Ranch,0.0,0.0,0.0,1100.0,1,3.0,0.0,0.0,74226.0,2021-04-06,515000.0
Residential,4920.0,Ranch,1.0,1956.0,5.0,1639.0,1,3.0,2.0,0.0,73616.0,2020-11-30,264000.0
Residential,4920.0,Ranch,1.0,1956.0,5.0,1639.0,1,3.0,2.0,0.0,73616.0,2019-06-18,239000.0
Commercial,6270.0,School,2.0,1954.0,0.0,34832.0,1,0.0,0.0,0.0,73050.0,2020-06-08,600000.0
Lg Apartment,6967.0,AP4 (Conv Apt with 21 or more Units),2.0,1960.0,0.0,61144.0,60,0.0,0.0,0.0,72100.0,2021-02-26,3720000.0
Residential,40.0,Cape Cod,1.0,1950.0,5.0,1103.0,1,3.0,1.0,0.0,71438.0,2020-10-28,184000.0
Commercial,6218.0,School,2.0,1952.0,0.0,25768.0,1,0.0,0.0,0.0,66162.0,2019-06-14,1200000.0
Lg Apartment,6970.0,AP4 (Conv Apt with 21 or more Units),2.0,1972.0,0.0,27988.0,27,2.0,0.0,0.0,65974.0,2019-05-24,1100000.0
Lg Apartment,6970.0,AP4 (Conv Apt with 21 or more Units),2.0,1972.0,0.0,27988.0,27,3.0,0.0,0.0,65974.0,2019-05-24,1100000.0
Lg Apartment,6970.0,AP4 (Conv Apt with 21 or more Units),2.0,1972.0,0.0,27988.0,27,2.0,0.0,0.0,65974.0,2019-05-24,1100000.0
Commercial,6272.0,Warehouse Building - 1 Story,1.0,1969.0,0.0,13946.0,1,0.0,0.0,0.0,64033.0,2021-02-18,825000.0
Commercial,6206.0,"Store Building - Single tenant, 1 story",1.0,1985.0,0.0,15339.0,2,0.0,0.0,0.0,63162.0,2019-08-16,625000.0
Residential,820.0,Cape Cod,1.5,1950.0,9.0,2451.0,1,4.0,3.0,0.0,62726.0,2021-07-09,285000.0
Commercial,6417.0,"Bank, Savings & Loan",1.0,1983.0,0.0,20986.0,3,0.0,0.0,0.0,62493.0,2021-06-27,3390000.0
Commercial,6218.0,Strip Shopping Center,1.0,1960.0,0.0,18304.0,6,0.0,0.0,0.0,62029.0,2020-09-15,1400000.0
Commercial,6206.0,Strip Shopping Center,1.0,1985.0,0.0,19323.0,10,0.0,0.0,0.0,61855.0,2020-03-13,1200000.0
Lg Apartment,6980.0,Subsidized Apartments,3.0,1978.0,0.0,65005.0,89,0.0,0.0,0.0,61680.0,2020-11-02,5012500.0
Commercial,6232.0,Warehouse Building - 1 Story,1.0,1955.0,0.0,27252.0,1,0.0,0.0,0.0,61288.0,2019-07-02,575000.0
