,Bdrms,Baths_total,FinishedSqft,Lotsize,Sale_date,Year,Month,Sale_price
18712,4,2,1351,6000,2023-04-27,2023,4,301300
18713,4,2,1237,6000,2023-09-22,2023,9,262500
18714,3,1,1045,6000,2023-10-24,2023,10,235000
18715,4,2,1617,6000,2023-11-15,2023,11,250000
18716,3,2,1570,6000,2023-04-14,2023,4,280000
18717,4,2,1314,6000,2023-05-26,2023,5,300000
18718,2,2,1216,6000,2023-06-09,2023,6,215000
18719,2,1,698,6000,2023-05-25,2023,5,180000
18721,3,2,986,6000,2023-10-10,2023,10,250000
18722,3,2,1195,6000,2023-02-15,2023,2,231500
18727,3,1,1300,6000,2023-01-19,2023,1,145000
18728,4,1,1816,6000,2023-04-14,2023,4,170000
18729,3,2,1591,6000,2023-02-21,2023,2,185000
18730,4,1,1320,6000,2023-04-22,2023,4,77000
18731,4,2,2928,6000,2023-07-21,2023,7,145000
18732,4,2,2238,6000,2023-02-17,2023,2,152000
18733,4,2,2238,6000,2023-06-14,2023,6,250000
18735,3,1,1210,6000,2023-08-22,2023,8,250500
18737,3,3,2005,6000,2023-03-16,2023,3,130000
18740,4,2,2666,6000,2023-10-17,2023,10,300000
18741,3,3,2087,6000,2023-12-01,2023,12,300000
18743,10,2,2286,6000,2023-07-21,2023,7,144500
18745,3,1,978,6000,2023-10-17,2023,10,50000
18746,3,2,1169,6000,2023-04-27,2023,4,197000
18748,6,2,2848,6000,2023-04-20,2023,4,80000
18749,4,1,1866,6000,2023-08-25,2023,8,110000
18750,6,2,2542,6000,2023-02-14,2023,2,139600
18754,8,2,2752,6000,2023-01-09,2023,1,246800
18757,3,2,1672,6000,2023-04-25,2023,4,320000
18758,4,2,2168,6000,2023-11-22,2023,11,310000
18760,5,2,2228,6000,2023-11-10,2023,11,200000
18761,3,1,1327,6000,2023-08-17,2023,8,250000
18762,3,1,1094,6000,2023-11-22,2023,11,217800
18763,4,1,1322,6000,2023-11-01,2023,11,190000
18766,5,2,2438,6000,2023-11-08,2023,11,349900
18770,4,2,1805,6000,2023-11-10,2023,11,295000
18774,6,2,2065,6000,2023-10-27,2023,10,327000
18775,3,2,1359,6000,2023-09-15,2023,9,260000
18777,3,2,1377,6000,2023-09-27,2023,9,242000
18779,4,3,1358,6000,2023-12-20,2023,12,160000
18780,3,1,1050,6000,2023-08-25,2023,8,232500
18784,3,2,1323,6000,2023-01-24,2023,1,205000
18789,3,1,1124,6000,2023-04-14,2023,4,278000
18790,6,4,2520,6000,2023-04-28,2023,4,240000
18800,12,4,2441,6000,2022-04-25,2022,4,205000
18805,12,2,1976,6000,2022-04-04,2022,4,117000
18806,6,2,1976,6000,2022-05-12,2022,5,97175
18807,3,1,1241,6000,2022-05-31,2022,5,135000
18808,8,1,1077,6000,2022-03-24,2022,3,154900
18809,4,1,1155,6000,2022-04-19,2022,4,93500
18810,12,2,2216,6000,2022-02-03,2022,2,127500
18811,4,3,1200,6000,2022-06-09,2022,6,198000
18814,5,3,2214,6000,2022-06-06,2022,6,205000
18815,6,4,2508,6000,2022-04-05,2022,4,184000
18816,6,2,1992,6000,2022-06-16,2022,6,134900
18826,2,3,1771,6000,2022-06-07,2022,6,332600
18827,3,1,1011,6000,2022-02-28,2022,2,119900
18829,3,1,960,6000,2022-06-09,2022,6,133000
18830,6,4,2028,6000,2022-06-09,2022,6,105000
18833,12,2,2040,6000,2022-02-07,2022,2,179900
18834,6,2,2040,6000,2022-07-21,2022,7,99000
18835,6,2,1926,6000,2022-05-26,2022,5,190000
18836,6,2,1926,6000,2022-11-21,2022,11,160000
18837,6,2,1926,6000,2022-05-19,2022,5,150000
18847,5,2,2161,6000,2022-04-15,2022,4,155000
18849,3,2,1655,6000,2022-12-29,2022,12,179500
18852,3,1,1119,6000,2022-10-21,2022,10,170000
18858,3,2,1389,6000,2022-09-26,2022,9,154500
18859,4,2,1327,6000,2022-02-07,2022,2,100000
18861,3,2,1402,6000,2022-04-26,2022,4,170900
18862,3,2,923,6000,2022-11-30,2022,11,225000
18865,4,2,1170,6000,2022-10-19,2022,10,260000
18866,4,2,1447,6000,2022-09-18,2022,9,207900
18868,3,3,1386,6000,2022-08-09,2022,8,202000
18869,3,3,1392,6000,2022-11-14,2022,11,322000
18870,2,2,1072,6000,2022-04-27,2022,4,199500
18873,3,1,1065,6000,2022-04-26,2022,4,245000
18877,3,1,1146,6000,2022-06-09,2022,6,256000
18878,3,2,1092,6000,2022-07-25,2022,7,261000
18879,3,1,1038,6000,2022-04-11,2022,4,167500
18880,4,2,2208,6000,2022-07-08,2022,7,125000
18884,4,2,2267,6000,2022-12-30,2022,12,74000
18885,4,2,2552,6000,2022-03-25,2022,3,115000
18886,4,3,1881,6000,2022-12-30,2022,12,220000
18887,4,3,1958,6000,2022-09-15,2022,9,275000
18888,3,1,1257,6000,2022-03-09,2022,3,137000
18892,5,3,2042,6000,2022-05-24,2022,5,235000
18895,5,2,2367,6000,2022-06-28,2022,6,270000
18896,4,2,2054,6000,2022-06-01,2022,6,165000
18902,10,2,2286,6000,2022-04-12,2022,4,115000
18903,10,2,2286,6000,2022-05-10,2022,5,126500
18907,2,1,1401,6000,2022-08-12,2022,8,253000
18908,6,2,2788,6000,2022-08-12,2022,8,345000
18909,4,2,1467,6000,2022-06-09,2022,6,185000
18912,3,2,1672,6000,2022-08-26,2022,8,289900
18913,3,1,1448,6000,2022-04-28,2022,4,245000
18914,12,3,2048,6000,2022-03-03,2022,3,205500
18915,4,2,1494,6000,2022-08-09,2022,8,212500
18916,3,2,1121,6000,2022-06-09,2022,6,245000
18917,3,2,1754,6000,2022-04-29,2022,4,130000
18920,4,2,2642,6000,2022-09-01,2022,9,295000
18922,4,2,1525,6000,2022-04-08,2022,4,230000
18924,3,1,964,6000,2022-06-10,2022,6,180000
18925,9,2,1181,6000,2022-01-20,2022,1,242000
18931,2,2,1292,6000,2022-09-29,2022,9,235000
18936,3,2,1819,6000,2022-11-18,2022,11,240000
18938,2,1,1120,6000,2022-09-08,2022,9,239900
18939,7,3,2546,6000,2022-10-03,2022,10,232000
18941,2,1,1271,6000,2022-06-29,2022,6,251000
18943,8,2,1291,6000,2022-06-14,2022,6,285000
18946,4,2,2082,6000,2022-09-13,2022,9,280000
18948,6,2,1824,6000,2022-06-17,2022,6,249900
18950,6,4,2143,6000,2022-02-11,2022,2,300000
18951,4,1,1354,6000,2022-07-25,2022,7,220000
18952,2,2,1134,6000,2022-09-30,2022,9,225000
18953,5,1,1636,6000,2022-06-29,2022,6,257000
18954,4,2,1938,6000,2022-10-06,2022,10,259000
18955,6,1,1394,6000,2022-03-04,2022,3,220000
18956,3,1,1148,6000,2022-07-26,2022,7,250000
18957,3,2,1614,6000,2022-08-26,2022,8,300000
18958,2,1,894,6000,2022-12-08,2022,12,205000
18959,4,2,1518,6000,2022-07-26,2022,7,279000
18961,6,4,2430,6000,2022-10-20,2022,10,300100
18963,6,3,1225,6000,2022-03-18,2022,3,225000
18971,4,2,1601,6000,2021-11-19,2021,11,173000
18977,4,1,1077,6000,2021-07-30,2021,7,72590
18978,4,1,1170,6000,2021-04-26,2021,4,61000
18979,4,2,1144,6000,2021-07-01,2021,7,108514
18980,6,4,2212,6000,2021-07-30,2021,7,180000
18984,6,2,1904,6000,2021-05-28,2021,5,149000
18986,4,1,1064,6000,2021-02-03,2021,2,98500
18987,5,2,1824,6000,2021-06-17,2021,6,54000
18988,3,1,1385,6000,2021-10-12,2021,10,90000
18991,3,2,1326,6000,2021-02-19,2021,2,158900
18992,6,2,2020,6000,2021-06-04,2021,6,140000
18993,2,1,1264,6000,2021-08-20,2021,8,123000
18999,3,2,1126,6000,2021-08-10,2021,8,125000
19000,4,2,1236,6000,2021-05-11,2021,5,120000
19001,4,1,1176,6000,2021-01-29,2021,1,116000
19002,4,1,1068,6000,2021-04-16,2021,4,114000
19005,4,2,1715,6000,2021-01-29,2021,1,169900
19008,6,2,2052,6000,2021-07-15,2021,7,199900
19011,7,4,3374,6000,2021-09-03,2021,9,320000
19013,4,2,1190,6000,2021-06-04,2021,6,230000
19014,3,3,1263,6000,2021-09-27,2021,9,272000
19016,3,1,1132,6000,2021-08-16,2021,8,150000
19018,3,2,1048,6000,2021-08-31,2021,8,241000
19020,3,1,992,6000,2021-06-22,2021,6,175000
19021,5,4,2772,6000,2021-02-19,2021,2,70000
19025,4,2,2944,6000,2021-11-19,2021,11,210000
19026,3,2,1666,6000,2021-07-06,2021,7,272000
19029,6,3,2697,6000,2021-01-27,2021,1,215000
19033,3,2,1533,6000,2021-08-13,2021,8,268000
19034,6,2,2354,6000,2021-08-27,2021,8,175000
19035,5,2,2390,6000,2021-04-08,2021,4,150000
19038,4,2,2372,6000,2021-06-02,2021,6,275000
19039,4,2,1589,6000,2021-04-30,2021,4,90000
19041,4,1,2043,6000,2021-05-10,2021,5,107000
19043,6,2,3405,6000,2021-09-30,2021,9,302088
19044,4,2,1797,6000,2021-07-22,2021,7,224000
19045,4,2,1972,6000,2021-02-26,2021,2,200000
19049,2,3,1630,6000,2021-04-29,2021,4,364000
19050,4,2,1136,6000,2021-08-27,2021,8,338888
19051,2,1,1312,6000,2021-03-19,2021,3,225000
19054,3,2,1181,6000,2021-06-21,2021,6,203000
19058,3,2,1123,6000,2021-03-02,2021,3,185000
19059,3,1,1199,6000,2021-03-31,2021,3,200000
19063,6,2,2476,6000,2021-07-23,2021,7,284000
19069,6,2,1824,6000,2021-06-18,2021,6,201000
19070,6,2,1824,6000,2021-09-30,2021,9,245000
19071,6,2,1824,6000,2021-06-10,2021,6,235000
19072,5,2,1824,6000,2021-06-28,2021,6,228000
19073,6,2,1824,6000,2021-06-18,2021,6,240000
19075,3,1,1020,6000,2021-04-19,2021,4,170000
19076,4,1,1293,6000,2021-08-03,2021,8,220000
19077,4,2,1395,6000,2021-05-14,2021,5,300000
19078,4,2,1227,6000,2021-04-02,2021,4,240000
19095,3,1,1108,6000,2020-08-17,2020,8,97500
19096,3,1,1378,6000,2020-08-27,2020,8,134500
19097,6,2,1728,6000,2020-07-14,2020,7,70000
19105,4,3,2023,6000,2020-12-23,2020,12,66500
19109,4,2,1536,6000,2020-05-29,2020,5,71700
19110,4,2,1536,6000,2020-09-25,2020,9,90000
19111,4,1,1263,6000,2020-07-31,2020,7,75000
19113,6,2,2040,6000,2020-10-30,2020,10,96900
19114,6,2,1926,6000,2020-11-30,2020,11,115000
19129,3,2,1746,6000,2020-10-22,2020,10,166000
19138,4,2,1447,6000,2020-01-23,2020,1,173000
19139,3,2,1552,6000,2020-03-12,2020,3,250000
19140,3,1,1333,6000,2020-12-07,2020,12,152000
19143,3,2,1451,6000,2020-02-24,2020,2,185000
19144,3,1,1008,6000,2020-07-17,2020,7,144000
19145,3,2,1381,6000,2020-04-02,2020,4,182000
19146,2,1,1022,6000,2020-04-22,2020,4,152000
19149,3,2,1000,6000,2020-09-13,2020,9,197000
19150,3,1,1060,6000,2020-07-23,2020,7,151000
19151,3,1,1040,6000,2020-02-14,2020,2,135900
19152,4,1,991,6000,2020-11-05,2020,11,166200
19153,3,1,1215,6000,2020-10-30,2020,10,185000
19154,4,2,1881,6000,2020-07-07,2020,7,199900
19155,4,2,1479,6000,2020-06-17,2020,6,165000
19156,3,1,1246,6000,2020-11-04,2020,11,116000
19158,2,2,1444,6000,2020-11-25,2020,11,113000
19162,3,2,1170,6000,2020-12-18,2020,12,190000
19164,3,2,935,6000,2020-11-06,2020,11,190000
19168,4,2,2120,6000,2020-03-06,2020,3,204000
19169,6,2,2383,6000,2020-03-03,2020,3,73000
19170,6,2,2040,6000,2020-05-27,2020,5,52000
19174,6,3,3325,6000,2020-05-27,2020,5,375000
19182,5,2,1744,6000,2020-12-23,2020,12,182000
19183,3,2,1176,6000,2020-07-09,2020,7,65400
19186,6,2,2848,6000,2020-08-31,2020,8,59000
19190,4,2,2784,6000,2020-01-02,2020,1,373000
19192,6,3,2048,6000,2020-03-16,2020,3,197500
19193,5,3,2430,6000,2020-07-07,2020,7,215000
19194,3,1,1111,6000,2020-11-02,2020,11,202000
19195,2,1,1508,6000,2020-09-06,2020,9,175000
19196,3,1,1327,6000,2020-09-29,2020,9,171000
19198,3,2,1621,6000,2020-05-15,2020,5,365000
19199,2,2,1033,6000,2020-10-23,2020,10,290000
19200,3,2,1434,6000,2020-03-16,2020,3,336000
19209,4,2,2552,6000,2020-08-26,2020,8,369900
19210,4,2,1291,6000,2020-06-09,2020,6,193000
19215,6,2,2404,6000,2020-12-17,2020,12,230000
19216,4,2,2092,6000,2020-03-03,2020,3,192000
19221,3,1,1098,6000,2020-09-11,2020,9,196000
19224,3,1,1082,6000,2020-08-31,2020,8,165500
19226,6,4,2520,6000,2020-06-24,2020,6,235000
19238,3,2,1279,6000,2019-10-04,2019,10,74000
19253,4,3,2430,6000,2019-06-24,2019,6,75000
19274,4,2,1415,6000,2019-06-21,2019,6,153000
19280,4,2,1587,6000,2019-04-08,2019,4,174900
19281,3,2,1308,6000,2019-05-28,2019,5,160000
19283,3,2,1451,6000,2019-02-07,2019,2,164750
19288,4,2,1190,6000,2019-03-04,2019,3,173500
19297,3,2,1649,6000,2019-08-15,2019,8,145000
19299,3,2,1416,6000,2019-07-22,2019,7,225000
19312,4,2,1467,6000,2019-11-22,2019,11,129000
19315,4,2,1312,6000,2019-04-05,2019,4,183000
19320,5,2,1548,6000,2019-09-27,2019,9,213000
19339,4,2,1418,6000,2019-05-14,2019,5,197000
19355,5,3,1704,6000,2019-01-16,2019,1,150000
19360,3,2,1206,6000,2019-10-23,2019,10,130000
19362,6,4,2167,6000,2019-12-30,2019,12,220000
19368,3,2,1552,6000,2013-01-01,2013,1,144900
19369,4,2,2054,6000,2013-01-01,2013,1,218700
19370,4,3,2468,6000,2013-02-01,2013,2,204000
19371,3,2,1333,6000,2013-02-01,2013,2,185900
19372,2,1,917,6000,2013-02-01,2013,2,101500
19380,3,1,977,6000,2013-04-01,2013,4,112000
19383,3,1,977,6000,2013-04-01,2013,4,97000
19385,4,2,1874,6000,2013-05-01,2013,5,192000
19386,3,2,1051,6000,2013-05-01,2013,5,140000
19390,3,1,1054,6000,2013-06-01,2013,6,69000
19392,3,1,1118,6000,2013-07-01,2013,7,99000
19393,4,2,1316,6000,2013-07-01,2013,7,152000
19400,3,1,1146,6000,2013-08-01,2013,8,135500
19402,3,1,1038,6000,2013-08-01,2013,8,103900
19403,3,2,1181,6000,2013-08-01,2013,8,110000
19407,3,2,2073,6000,2013-09-01,2013,9,185000
19408,3,2,1104,6000,2013-09-01,2013,9,155000
19416,6,2,2330,6000,2013-11-01,2013,11,92000
19417,6,2,2088,6000,2013-11-01,2013,11,58000
19418,3,2,1360,6000,2013-11-01,2013,11,137500
19419,3,2,1082,6000,2013-11-01,2013,11,105000
19421,3,1,1152,6000,2013-11-01,2013,11,70000
19422,4,2,1210,6000,2013-12-01,2013,12,136000
19423,2,1,1028,6000,2013-12-01,2013,12,92000
19425,6,2,2132,6000,2013-12-01,2013,12,181300
19429,3,3,1635,6000,2014-02-01,2014,2,186000
19430,6,2,2256,6000,2014-03-01,2014,3,81000
19432,4,2,1237,6000,2014-04-01,2014,4,137000
19433,3,1,1092,6000,2014-04-01,2014,4,95000
19435,3,2,1211,6000,2014-04-01,2014,4,135000
19436,6,4,2614,6000,2014-04-01,2014,4,163000
19438,4,2,1494,6000,2014-04-01,2014,4,137500
19442,4,2,1464,6000,2014-05-01,2014,5,105500
19446,3,2,1672,6000,2014-06-01,2014,6,179000
19448,3,1,1232,6000,2014-06-01,2014,6,100000
19452,4,1,1189,6000,2014-07-01,2014,7,120000
19457,3,2,968,6000,2014-08-01,2014,8,108000
19461,3,2,1206,6000,2014-08-01,2014,8,125000
19462,3,2,998,6000,2014-08-01,2014,8,117900
19465,3,1,1352,6000,2014-08-01,2014,8,108000
19466,3,1,1064,6000,2014-08-01,2014,8,126100
19467,4,1,1095,6000,2014-08-01,2014,8,99000
19468,4,2,1646,6000,2014-08-01,2014,8,156000
19469,4,2,1521,6000,2014-08-01,2014,8,150000
19471,3,1,1152,6000,2014-08-01,2014,8,54650
19474,4,2,1570,6000,2014-09-01,2014,9,151000
19478,4,3,2023,6000,2014-10-01,2014,10,67100
19480,4,3,1582,6000,2014-10-01,2014,10,159000
19482,3,1,2037,6000,2014-10-01,2014,10,124000
19483,4,3,2067,6000,2014-10-01,2014,10,159900
19486,3,1,1232,6000,2014-10-01,2014,10,142500
19487,4,2,1802,6000,2014-10-01,2014,10,201700
19488,4,1,1276,6000,2014-11-01,2014,11,63900
19491,7,4,2840,6000,2014-11-01,2014,11,127000
19492,3,2,1709,6000,2014-11-01,2014,11,144000
19493,6,2,2052,6000,2014-11-01,2014,11,140000
19495,4,2,1930,6000,2014-11-01,2014,11,110000
19496,5,5,2208,6000,2014-11-01,2014,11,100000
19497,3,2,1371,6000,2014-11-01,2014,11,148700
19498,3,2,935,6000,2014-12-01,2014,12,98000
19499,4,1,1135,6000,2014-12-01,2014,12,115000
19502,6,4,2178,6000,2015-01-01,2015,1,65000
19504,4,1,1293,6000,2015-01-01,2015,1,111000
19506,6,4,2288,6000,2015-02-01,2015,2,123000
19508,4,1,1339,6000,2015-03-01,2015,3,106000
19514,3,1,1208,6000,2015-04-01,2015,4,112000
19515,3,2,1676,6000,2015-04-01,2015,4,179000
19517,4,2,2915,6000,2015-05-01,2015,5,279000
19518,4,2,1691,6000,2015-05-01,2015,5,120000
19519,6,2,2763,6000,2015-05-01,2015,5,158500
19530,4,2,1326,6000,2015-06-01,2015,6,129400
19533,4,1,1288,6000,2015-07-01,2015,7,86000
19534,3,2,1278,6000,2015-07-01,2015,7,65000
19539,3,2,1170,6000,2015-07-01,2015,7,140500
19540,5,3,1846,6000,2015-07-01,2015,7,94900
19542,4,2,2168,6000,2015-07-01,2015,7,152000
19543,2,1,1050,6000,2015-07-01,2015,7,125000
19544,4,2,2784,6000,2015-07-01,2015,7,325000
19545,3,1,1240,6000,2015-07-01,2015,7,118500
19546,6,2,2404,6000,2015-07-01,2015,7,155000
19547,5,2,1824,6000,2015-07-01,2015,7,152500
19548,4,2,1395,6000,2015-07-01,2015,7,185000
19549,3,1,1020,6000,2015-07-01,2015,7,93000
19553,3,2,1048,6000,2015-08-01,2015,8,142000
19554,4,1,973,6000,2015-08-01,2015,8,139000
19557,6,4,2090,6000,2015-08-01,2015,8,117000
19558,7,4,3374,6000,2015-08-01,2015,8,195000
19560,3,1,1236,6000,2015-09-01,2015,9,105000
19563,3,2,1494,6000,2015-09-01,2015,9,172500
19565,6,2,3008,6000,2015-09-01,2015,9,51000
19566,4,2,1312,6000,2015-09-01,2015,9,151000
19567,3,2,1624,6000,2015-09-01,2015,9,125000
19568,5,2,1860,6000,2015-09-01,2015,9,154500
19571,4,2,2807,6000,2015-09-01,2015,9,248000
19573,2,1,784,6000,2015-10-01,2015,10,61500
19574,3,2,1427,6000,2015-10-01,2015,10,154500
19575,3,1,1152,6000,2015-10-01,2015,10,150000
19577,4,1,1313,6000,2015-10-01,2015,10,118000
19580,3,2,1346,6000,2015-11-01,2015,11,124000
19582,3,2,1814,6000,2015-11-01,2015,11,142900
19583,5,2,2228,6000,2015-11-01,2015,11,142000
19587,3,3,1950,6000,2015-12-01,2015,12,185000
19589,3,2,2637,6000,2015-12-01,2015,12,101000
19590,3,1,1151,6000,2015-12-01,2015,12,106000
19591,3,1,1199,6000,2015-12-01,2015,12,132500
19599,3,1,947,6000,2016-02-01,2016,2,95000
19600,2,2,1072,6000,2016-03-01,2016,3,98500
19603,6,2,1976,6000,2016-03-01,2016,3,67000
19608,3,1,1466,6000,2016-04-01,2016,4,135000
19618,3,1,1066,6000,2016-05-01,2016,5,154000
19620,3,2,1581,6000,2016-05-01,2016,5,181000
19621,3,2,1377,6000,2016-05-01,2016,5,140000
19622,3,2,1254,6000,2016-05-01,2016,5,115000
19625,4,1,1279,6000,2016-06-01,2016,6,78000
19629,4,2,1413,6000,2016-06-01,2016,6,124500
19630,3,2,1329,6000,2016-06-01,2016,6,130000
19637,3,2,1631,6000,2016-06-01,2016,6,173250
19640,4,2,1418,6000,2016-06-01,2016,6,150150
19642,3,2,1570,6000,2016-07-01,2016,7,159400
19643,3,2,1346,6000,2016-07-01,2016,7,129000
19644,4,1,1044,6000,2016-07-01,2016,7,156000
19645,6,5,2600,6000,2016-07-01,2016,7,125000
19646,4,2,2054,6000,2016-07-01,2016,7,262000
19648,5,2,2039,6000,2016-07-01,2016,7,142000
19649,3,2,1510,6000,2016-07-01,2016,7,210000
19652,3,2,2624,6000,2016-08-01,2016,8,232500
19653,3,2,1330,6000,2016-08-01,2016,8,129500
19654,6,2,1824,6000,2016-08-01,2016,8,145000
19656,3,1,1090,6000,2016-08-01,2016,8,135000
19659,4,2,2552,6000,2016-08-01,2016,8,265000
19662,3,1,1041,6000,2016-09-01,2016,9,121400
19667,2,1,998,6000,2016-09-01,2016,9,107000
19669,3,2,1184,6000,2016-10-01,2016,10,122500
19672,4,2,1536,6000,2016-10-01,2016,10,159000
19673,3,1,1255,6000,2016-10-01,2016,10,133700
19674,3,2,1185,6000,2016-10-01,2016,10,116900
19675,2,1,894,6000,2016-10-01,2016,10,133000
19677,6,3,2794,6000,2016-10-01,2016,10,250000
19685,5,2,1586,6000,2016-12-01,2016,12,177900
19686,5,2,1833,6000,2016-12-01,2016,12,130000
19689,5,2,1545,6000,2016-12-01,2016,12,58200
19690,4,1,1020,6000,2016-12-01,2016,12,58500
19691,4,2,1263,6000,2016-12-01,2016,12,103000
19694,6,2,3152,6000,2017-01-01,2017,1,300000
19696,6,4,2508,6000,2017-02-01,2017,2,114000
19697,3,2,1186,6000,2017-02-01,2017,2,144400
19698,3,2,1737,6000,2017-02-01,2017,2,115000
19700,3,1,1119,6000,2017-03-01,2017,3,80000
19701,3,2,1413,6000,2017-03-01,2017,3,156000
19705,4,2,2137,6000,2017-04-01,2017,4,217000
19706,4,2,1170,6000,2017-04-01,2017,4,140000
19710,5,2,1621,6000,2017-04-01,2017,4,99900
19711,3,2,1305,6000,2017-04-01,2017,4,157000
19712,3,2,1207,6000,2017-04-01,2017,4,145000
19716,4,2,1582,6000,2017-05-01,2017,5,165000
19717,4,2,1351,6000,2017-05-01,2017,5,200000
19718,3,2,1198,6000,2017-05-01,2017,5,121500
19719,3,1,1038,6000,2017-05-01,2017,5,115000
19720,3,2,998,6000,2017-05-01,2017,5,136000
19721,4,2,1747,6000,2017-05-01,2017,5,230000
19725,3,2,1285,6000,2017-06-01,2017,6,83455
19726,5,2,1403,6000,2017-06-01,2017,6,192000
19727,4,2,1294,6000,2017-06-01,2017,6,173500
19728,4,2,1210,6000,2017-06-01,2017,6,165000
19731,3,2,1479,6000,2017-07-01,2017,7,88000
19735,4,2,1341,6000,2017-07-01,2017,7,68000
19739,4,3,1385,6000,2017-08-01,2017,8,99900
19740,4,2,1666,6000,2017-08-01,2017,8,170000
19741,4,2,1395,6000,2017-08-01,2017,8,224000
19744,6,2,1748,6000,2017-09-01,2017,9,67000
19745,6,2,1748,6000,2017-09-01,2017,9,70000
19751,6,2,2325,6000,2017-10-01,2017,10,137900
19753,3,3,1392,6000,2017-10-01,2017,10,250000
19754,2,2,1156,6000,2017-10-01,2017,10,163000
19756,3,2,1510,6000,2017-10-01,2017,10,163500
19757,4,2,1793,6000,2017-10-01,2017,10,175000
19762,3,2,1142,6000,2017-11-01,2017,11,94900
19763,6,2,2040,6000,2017-11-01,2017,11,64000
19764,4,2,2296,6000,2017-11-01,2017,11,167000
19769,4,2,1391,6000,2017-12-01,2017,12,160000
19771,4,3,2802,6000,2017-12-01,2017,12,243000
19772,6,4,2143,6000,2017-12-01,2017,12,204000
19776,4,1,1339,6000,2018-02-01,2018,2,113000
19777,4,2,1306,6000,2018-02-01,2018,2,168000
19780,5,5,2208,6000,2018-02-01,2018,2,170800
19781,6,2,1824,6000,2018-02-01,2018,2,166900
19785,4,2,1582,6000,2018-03-01,2018,3,150000
19787,3,2,1051,6000,2018-03-01,2018,3,169000
19788,3,1,1344,6000,2018-03-01,2018,3,111250
19789,3,1,998,6000,2018-03-01,2018,3,99900
19792,5,2,2166,6000,2018-03-01,2018,3,177000
19794,5,2,2791,6000,2018-03-01,2018,3,268000
19797,5,2,2745,6000,2018-04-01,2018,4,355000
19798,3,2,1760,6000,2018-04-01,2018,4,213200
19799,3,2,1195,6000,2018-04-01,2018,4,140000
19800,3,2,1666,6000,2018-04-01,2018,4,205000
19801,4,3,1846,6000,2018-04-01,2018,4,116900
19805,5,2,2446,6000,2018-04-01,2018,4,315500
19807,4,2,1479,6000,2018-05-01,2018,5,173000
19808,4,2,2016,6000,2018-05-01,2018,5,72900
19809,3,2,1114,6000,2018-05-01,2018,5,218000
19813,3,2,1066,6000,2018-05-01,2018,5,149900
19816,3,2,1259,6000,2018-06-01,2018,6,130900
19822,4,1,973,6000,2018-06-01,2018,6,159100
19827,3,2,1323,6000,2018-06-01,2018,6,145000
19830,4,2,1494,6000,2018-06-01,2018,6,290000
19833,5,2,1902,6000,2018-07-01,2018,7,125300
19835,3,2,1494,6000,2018-07-01,2018,7,208500
19837,3,2,2444,6000,2018-07-01,2018,7,124000
19838,3,2,2345,6000,2018-07-01,2018,7,184900
19839,4,2,1536,6000,2018-07-01,2018,7,172800
19841,4,2,1298,6000,2018-07-01,2018,7,155000
19842,3,1,1297,6000,2018-07-01,2018,7,155000
19843,6,4,2614,6000,2018-07-01,2018,7,200000
19845,5,1,1164,6000,2018-07-01,2018,7,165000
19850,4,2,1081,6000,2018-09-01,2018,9,155000
19853,6,3,2870,6000,2018-09-01,2018,9,92500
19854,3,1,1111,6000,2018-09-01,2018,9,185000
19857,3,1,1095,6000,2018-10-01,2018,10,157000
19860,4,2,2472,6000,2018-10-01,2018,10,71202
19862,5,2,2139,6000,2018-10-01,2018,10,200000
19872,4,2,2070,6000,2018-11-01,2018,11,305000
19873,4,2,1976,6000,2018-11-01,2018,11,162000
19874,4,3,1176,6000,2018-11-01,2018,11,180000
19879,3,2,1344,6000,2018-12-01,2018,12,230000
19881,5,2,1952,6000,2018-12-01,2018,12,161500
19882,4,3,1916,6000,2018-12-01,2018,12,188000
19890,3,2,1137,5995,2017-01-01,2017,1,117100
19891,4,2,2129,5994,2023-11-22,2023,11,82500
19900,2,2,1414,5985,2023-06-30,2023,6,300000
19903,4,2,1782,5985,2022-03-17,2022,3,285000
19904,3,2,1099,5985,2021-11-10,2021,11,255000
19906,4,2,1782,5985,2020-07-01,2020,7,245000
19907,3,1,962,5985,2020-05-15,2020,5,154700
19913,4,2,1782,5985,2014-05-01,2014,5,185000
19916,4,2,2300,5985,2015-06-01,2015,6,80000
19918,3,2,1244,5985,2015-07-01,2015,7,143000
19925,3,3,1232,5985,2017-09-01,2017,9,237700
19927,3,1,967,5985,2018-03-01,2018,3,148000
19928,4,2,1782,5985,2018-04-01,2018,4,206000
19931,4,4,1872,5984,2022-05-12,2022,5,105000
19932,3,1,846,5984,2021-03-11,2021,3,121000
19933,3,3,1424,5984,2021-04-30,2021,4,179900
19935,4,2,1256,5984,2021-04-16,2021,4,251000
19939,4,1,1256,5984,2015-06-01,2015,6,158450
19940,4,1,1027,5984,2015-07-01,2015,7,78500
19943,4,1,1567,5984,2015-09-01,2015,9,130500
19945,4,2,2278,5984,2016-04-01,2016,4,148200
19946,4,2,1177,5984,2017-05-01,2017,5,70000
19951,2,2,1508,5980,2022-02-10,2022,2,240000
19965,4,2,1725,5978,2022-05-31,2022,5,305000
19967,2,2,1243,5977,2016-09-01,2016,9,84500
19968,4,2,1383,5976,2022-08-02,2022,8,250000
19969,4,2,1852,5976,2016-04-01,2016,4,143900
19970,3,2,1410,5974,2021-07-20,2021,7,271000
