,Bdrms,Baths_total,FinishedSqft,Lotsize,Sale_date,Year,Month,Sale_price
1007,3,3,1866,21780,2017-09-01,2017,9,198500
1008,3,3,2290,21780,2017-10-01,2017,10,232000
1011,5,4,3701,21780,2017-10-01,2017,10,325000
1012,2,1,1270,21780,2017-11-01,2017,11,100000
1013,4,1,1040,21780,2017-11-01,2017,11,96000
1014,3,1,1142,21780,2017-12-01,2017,12,179400
1017,3,1,985,21780,2018-07-01,2018,7,91000
1018,4,2,2010,21742,2019-10-18,2019,10,248000
1019,4,2,2010,21742,2018-07-01,2018,7,207000
1023,3,3,2676,21648,2018-05-01,2018,5,287000
1033,4,2,1395,21594,2019-11-14,2019,11,142500
1034,3,2,1232,21583,2021-02-02,2021,2,141700
1035,3,2,1232,21583,2019-02-22,2019,2,75000
1043,3,2,2130,21500,2023-11-29,2023,11,316000
1047,4,2,1309,21384,2021-11-16,2021,11,275000
1054,3,2,1284,21140,2022-01-14,2022,1,149000
1056,3,2,2009,21133,2017-08-01,2017,8,249900
1057,4,3,2011,21127,2020-07-17,2020,7,242400
1058,3,4,2294,21102,2015-10-01,2015,10,292900
1060,4,2,1594,21070,2015-03-01,2015,3,110000
1064,4,2,2828,21027,2022-07-22,2022,7,300000
1065,4,2,2828,21027,2015-03-01,2015,3,157000
1066,4,1,1334,21025,2020-08-28,2020,8,127500
1073,4,2,1617,21000,2013-01-01,2013,1,149900
1077,3,1,2469,21000,2016-08-01,2016,8,340000
1079,3,1,1125,21000,2017-08-01,2017,8,138500
1081,4,2,1617,21000,2018-04-01,2018,4,192000
1088,3,3,2188,20827,2018-04-01,2018,4,290000
1089,3,3,2069,20801,2013-04-01,2013,4,167900
1090,3,3,2069,20801,2017-04-01,2017,4,187000
1099,3,2,1716,20720,2018-06-01,2018,6,179900
1106,2,2,1287,20600,2020-09-08,2020,9,245000
1115,3,2,1824,20487,2022-06-08,2022,6,300000
1129,4,2,1999,20400,2018-02-01,2018,2,188500
1131,2,2,1178,20313,2023-05-09,2023,5,233000
1132,4,3,1876,20313,2022-05-24,2022,5,234900
1148,4,2,2216,20086,2014-07-01,2014,7,225000
1152,3,2,1040,20064,2020-10-08,2020,10,152000
1157,3,3,1970,20000,2022-11-28,2022,11,267500
1158,4,2,1184,20000,2021-09-13,2021,9,215000
1162,3,2,1501,20000,2015-06-01,2015,6,87000
1163,4,4,2248,20000,2015-07-01,2015,7,195000
1164,4,3,2375,20000,2016-08-01,2016,8,238000
1167,4,3,2793,20000,2017-03-01,2017,3,251000
1168,4,2,1184,20000,2018-04-01,2018,4,159900
1170,4,3,2289,20000,2018-10-01,2018,10,253500
1176,2,2,1243,19932,2021-11-09,2021,11,175000
1178,4,2,1828,19932,2014-12-01,2014,12,192000
1179,3,2,1894,19920,2022-12-01,2022,12,340000
1180,3,2,1894,19920,2015-06-01,2015,6,190000
1181,4,3,3342,19918,2018-08-01,2018,8,366500
1185,4,3,1828,19907,2023-02-13,2023,2,275000
1187,4,3,2238,19889,2013-02-01,2013,2,260000
1189,4,3,1665,19866,2021-06-17,2021,6,325000
1190,3,2,1293,19866,2014-12-01,2014,12,164000
1194,4,2,1731,19800,2023-04-26,2023,4,342900
1199,4,2,1359,19800,2016-11-01,2016,11,219300
1203,5,2,2106,19783,2014-09-01,2014,9,181000
1207,3,1,1287,19768,2020-08-21,2020,8,76900
1225,3,2,2146,19600,2015-02-01,2015,2,257500
1231,3,2,1410,19520,2013-03-01,2013,3,149000
1235,8,2,1658,19488,2022-02-04,2022,2,275000
1236,4,2,1658,19488,2015-03-01,2015,3,179000
1244,4,3,2075,19400,2017-09-01,2017,9,222000
1249,5,4,3166,19365,2021-01-27,2021,1,365000
1256,5,2,2589,19260,2016-04-01,2016,4,51000
1277,2,2,1672,19184,2022-11-16,2022,11,160000
1279,3,1,1203,19184,2021-09-30,2021,9,215000
1286,4,3,2028,19170,2021-07-23,2021,7,325000
1287,4,2,1911,19170,2016-06-01,2016,6,88000
1292,4,3,1147,19125,2018-08-01,2018,8,175000
1294,3,3,2668,19120,2015-10-01,2015,10,365000
1301,4,2,1284,19096,2021-09-08,2021,9,255000
1308,3,2,1209,19055,2014-09-01,2014,9,185000
1313,3,2,1476,19008,2014-08-01,2014,8,133900
1314,3,2,1698,18970,2020-09-30,2020,9,175000
1322,4,2,1210,18848,2021-10-15,2021,10,177900
1336,6,4,2896,18583,2022-03-03,2022,3,254000
1337,3,1,1334,18583,2022-01-06,2022,1,195000
1338,6,4,2896,18583,2020-05-04,2020,5,225000
1340,3,2,1480,18532,2014-03-01,2014,3,125000
1341,3,2,1480,18532,2017-06-01,2017,6,150000
1354,4,2,1109,18414,2020-04-09,2020,4,155500
1355,4,2,1109,18414,2016-12-01,2016,12,100000
1356,3,1,956,18390,2013-08-01,2013,8,59000
1363,3,3,2524,18270,2015-06-01,2015,6,245000
1364,3,3,2524,18270,2016-09-01,2016,9,254500
1367,4,3,2025,18232,2020-07-22,2020,7,314000
1368,3,2,1373,18220,2016-12-01,2016,12,201000
1369,3,2,1229,18209,2018-11-01,2018,11,96900
1373,4,4,4258,18096,2014-11-01,2014,11,350000
1374,5,4,4258,18096,2016-11-01,2016,11,343250
1377,3,2,1494,18084,2021-10-25,2021,10,189000
1386,3,3,1897,18006,2018-01-01,2018,1,170000
1388,4,2,1485,18000,2022-12-07,2022,12,169750
1390,4,2,1679,18000,2022-06-16,2022,6,280000
1392,4,1,1321,18000,2020-04-22,2020,4,120000
