Bdrms,Baths_total,FinishedSqft,Lotsize,Sale_date,Year,Month,Sale_price
4,2,2200,128502,2021-11-23,2021,11,336000
2,2,1125,101059,2021-10-08,2021,10,250000
4,1,1471,95832,2022-08-12,2022,8,274900
4,3,2303,84071,2019-07-18,2019,7,237500
4,2,1247,81893,2023-06-01,2023,6,150000
3,3,2428,80150,2019-04-16,2019,4,255000
3,1,1328,75794,2023-10-03,2023,10,209900
3,2,2373,74923,2016-02-01,2016,2,275000
3,1,1103,71438,2020-10-28,2020,10,184000
3,1,1188,71438,2018-03-01,2018,3,143500
4,3,2451,62726,2021-07-09,2021,7,285000
4,4,3702,59174,2017-02-01,2017,2,354000
2,1,1049,58674,2022-06-09,2022,6,207000
3,2,1068,57762,2021-07-02,2021,7,185000
4,3,2070,51666,2019-10-24,2019,10,233000
4,1,1068,42689,2022-05-13,2022,5,175000
4,4,2562,41568,2016-07-01,2016,7,295500
3,2,1872,41382,2023-08-23,2023,8,315000
5,4,2992,40946,2019-10-03,2019,10,300000
4,3,1846,40511,2022-02-25,2022,2,140000
4,3,1846,40511,2022-11-23,2022,11,300000
3,3,2143,40075,2022-10-10,2022,10,320000
3,3,2143,40075,2020-09-18,2020,9,270000
2,2,1577,39639,2020-11-05,2020,11,172500
4,2,1826,39204,2021-06-18,2021,6,298500
3,2,2138,39162,2021-06-11,2021,6,230000
3,3,2558,38712,2021-09-10,2021,9,375000
3,3,2541,38333,2020-10-23,2020,10,268000
3,3,2541,38333,2018-06-01,2018,6,215000
3,3,2141,38150,2021-03-04,2021,3,365000
4,2,1951,37897,2021-12-16,2021,12,315000
4,1,1296,37026,2021-04-13,2021,4,220000
4,2,2098,36590,2021-06-04,2021,6,305000
3,1,1347,36590,2021-01-13,2021,1,163000
4,2,2108,36590,2020-07-17,2020,7,245000
4,3,2114,36590,2019-10-04,2019,10,243000
4,3,2261,35719,2020-04-10,2020,4,209000
3,2,1725,35560,2022-07-13,2022,7,273000
4,2,1182,33541,2023-12-15,2023,12,160000
4,4,2237,33106,2021-04-08,2021,4,341000
4,1,1429,31388,2018-01-01,2018,1,134000
4,2,2069,30928,2023-05-31,2023,5,375000
6,2,1634,30928,2022-05-13,2022,5,246000
4,3,1516,30627,2016-05-01,2016,5,175000
4,3,2868,30486,2019-08-30,2019,8,375000
2,1,929,30056,2021-06-28,2021,6,135000
3,2,1176,30056,2020-04-03,2020,4,176000
3,2,1176,30056,2018-07-01,2018,7,160000
3,4,2059,29171,2014-05-01,2014,5,260000
3,2,2171,29000,2023-06-05,2023,6,279000
4,3,2610,28792,2015-04-01,2015,4,284900
4,3,2659,27984,2017-10-01,2017,10,218000
3,2,1373,27915,2021-09-30,2021,9,305000
2,2,1521,27452,2020-06-12,2020,6,190000
3,2,1983,27443,2023-05-12,2023,5,310000
3,2,1983,27443,2021-02-12,2021,2,278000
4,3,2042,27272,2023-05-04,2023,5,267000
4,4,2220,27007,2018-07-01,2018,7,237000
4,3,1931,26700,2016-06-01,2016,6,232500
6,3,3080,26572,2021-04-30,2021,4,280000
4,2,2033,24792,2021-09-16,2021,9,321000
4,2,1668,24628,2016-04-01,2016,4,146000
3,3,2421,24527,2014-11-01,2014,11,255000
3,4,2380,24394,2020-04-03,2020,4,288000
13,6,8810,24192,2013-02-01,2013,2,175000
3,3,1866,23958,2022-08-18,2022,8,290000
8,3,1545,23920,2022-05-16,2022,5,280000
4,3,1545,23920,2018-02-01,2018,2,219000
5,4,3161,23700,2015-04-01,2015,4,114000
3,2,1662,23625,2022-07-14,2022,7,280000
3,2,1662,23625,2017-09-01,2017,9,181000
4,5,2329,23200,2021-01-15,2021,1,220000
4,2,1679,23016,2020-05-29,2020,5,216000
3,2,908,22990,2023-06-06,2023,6,208000
4,2,1946,22769,2022-09-22,2022,9,290000
4,2,1946,22769,2013-09-01,2013,9,140000
3,3,2206,22500,2018-07-01,2018,7,265000
6,4,2441,22484,2021-04-01,2021,4,306000
3,1,1397,22365,2021-01-29,2021,1,114000
3,1,989,22360,2022-09-15,2022,9,190000
4,2,3014,22275,2013-02-01,2013,2,151000
6,5,3071,22244,2016-12-01,2016,12,120000
3,2,1936,22148,2017-08-01,2017,8,228000
3,1,1108,22094,2018-06-01,2018,6,117000
3,1,1409,22050,2018-02-01,2018,2,123000
3,2,1772,22019,2015-12-01,2015,12,199900
3,2,1319,21842,2023-10-06,2023,10,285000
5,4,3701,21780,2013-03-01,2013,3,322000
3,2,1634,21780,2013-08-01,2013,8,151500
4,3,2304,21780,2013-08-01,2013,8,168000
2,1,929,21780,2013-08-01,2013,8,89000
3,3,1866,21780,2013-08-01,2013,8,191200
2,1,1060,21780,2014-02-01,2014,2,65000
4,4,3269,21780,2014-05-01,2014,5,215000
2,1,776,21780,2014-05-01,2014,5,89900
4,5,2751,21780,2014-07-01,2014,7,219000
3,2,2025,21780,2014-07-01,2014,7,51000
3,2,1750,21780,2014-07-01,2014,7,169800
3,3,1784,21780,2014-11-01,2014,11,135000
4,2,2894,21780,2015-05-01,2015,5,140000
3,1,1527,21780,2015-06-01,2015,6,179000
3,3,1933,21780,2015-10-01,2015,10,202000
3,2,2612,21780,2015-11-01,2015,11,218900
4,3,2237,21780,2015-12-01,2015,12,254000
3,3,2039,21780,2015-12-01,2015,12,241000
3,2,1634,21780,2015-12-01,2015,12,163000
3,2,1419,21780,2016-02-01,2016,2,159900
3,3,2443,21780,2016-05-01,2016,5,255000
4,2,2434,21780,2016-06-01,2016,6,280000
3,1,954,21780,2016-06-01,2016,6,75000
4,2,1489,21780,2016-08-01,2016,8,120000
2,1,1055,21780,2016-09-01,2016,9,120000
4,2,2475,21780,2016-11-01,2016,11,230000
4,3,2173,21780,2016-12-01,2016,12,185000
2,1,776,21780,2017-04-01,2017,4,99900
4,2,2453,21780,2017-05-01,2017,5,179550
4,3,1974,21780,2017-08-01,2017,8,234500
3,3,1866,21780,2017-09-01,2017,9,198500
3,3,2290,21780,2017-10-01,2017,10,232000
5,4,3701,21780,2017-10-01,2017,10,325000
2,1,1270,21780,2017-11-01,2017,11,100000
4,1,1040,21780,2017-11-01,2017,11,96000
3,1,1142,21780,2017-12-01,2017,12,179400
3,1,985,21780,2018-07-01,2018,7,91000
4,2,2010,21742,2019-10-18,2019,10,248000
4,2,2010,21742,2018-07-01,2018,7,207000
3,3,2676,21648,2018-05-01,2018,5,287000
4,2,1395,21594,2019-11-14,2019,11,142500
3,2,1232,21583,2021-02-02,2021,2,141700
3,2,1232,21583,2019-02-22,2019,2,75000
3,2,2130,21500,2023-11-29,2023,11,316000
4,2,1309,21384,2021-11-16,2021,11,275000
3,2,1284,21140,2022-01-14,2022,1,149000
3,2,2009,21133,2017-08-01,2017,8,249900
4,3,2011,21127,2020-07-17,2020,7,242400
3,4,2294,21102,2015-10-01,2015,10,292900
4,2,1594,21070,2015-03-01,2015,3,110000
4,2,2828,21027,2022-07-22,2022,7,300000
4,2,2828,21027,2015-03-01,2015,3,157000
4,1,1334,21025,2020-08-28,2020,8,127500
4,2,1617,21000,2013-01-01,2013,1,149900
3,1,2469,21000,2016-08-01,2016,8,340000
3,1,1125,21000,2017-08-01,2017,8,138500
4,2,1617,21000,2018-04-01,2018,4,192000
3,3,2188,20827,2018-04-01,2018,4,290000
3,3,2069,20801,2013-04-01,2013,4,167900
3,3,2069,20801,2017-04-01,2017,4,187000
3,2,1716,20720,2018-06-01,2018,6,179900
2,2,1287,20600,2020-09-08,2020,9,245000
3,2,1824,20487,2022-06-08,2022,6,300000
4,2,1999,20400,2018-02-01,2018,2,188500
2,2,1178,20313,2023-05-09,2023,5,233000
4,3,1876,20313,2022-05-24,2022,5,234900
4,2,2216,20086,2014-07-01,2014,7,225000
3,2,1040,20064,2020-10-08,2020,10,152000
3,3,1970,20000,2022-11-28,2022,11,267500
4,2,1184,20000,2021-09-13,2021,9,215000
3,2,1501,20000,2015-06-01,2015,6,87000
4,4,2248,20000,2015-07-01,2015,7,195000
4,3,2375,20000,2016-08-01,2016,8,238000
4,3,2793,20000,2017-03-01,2017,3,251000
4,2,1184,20000,2018-04-01,2018,4,159900
4,3,2289,20000,2018-10-01,2018,10,253500
2,2,1243,19932,2021-11-09,2021,11,175000
4,2,1828,19932,2014-12-01,2014,12,192000
3,2,1894,19920,2022-12-01,2022,12,340000
3,2,1894,19920,2015-06-01,2015,6,190000
4,3,3342,19918,2018-08-01,2018,8,366500
4,3,1828,19907,2023-02-13,2023,2,275000
4,3,2238,19889,2013-02-01,2013,2,260000
4,3,1665,19866,2021-06-17,2021,6,325000
3,2,1293,19866,2014-12-01,2014,12,164000
4,2,1731,19800,2023-04-26,2023,4,342900
4,2,1359,19800,2016-11-01,2016,11,219300
5,2,2106,19783,2014-09-01,2014,9,181000
3,1,1287,19768,2020-08-21,2020,8,76900
3,2,2146,19600,2015-02-01,2015,2,257500
3,2,1410,19520,2013-03-01,2013,3,149000
8,2,1658,19488,2022-02-04,2022,2,275000
4,2,1658,19488,2015-03-01,2015,3,179000
4,3,2075,19400,2017-09-01,2017,9,222000
5,4,3166,19365,2021-01-27,2021,1,365000
5,2,2589,19260,2016-04-01,2016,4,51000
2,2,1672,19184,2022-11-16,2022,11,160000
3,1,1203,19184,2021-09-30,2021,9,215000
4,3,2028,19170,2021-07-23,2021,7,325000
4,2,1911,19170,2016-06-01,2016,6,88000
4,3,1147,19125,2018-08-01,2018,8,175000
3,3,2668,19120,2015-10-01,2015,10,365000
4,2,1284,19096,2021-09-08,2021,9,255000
3,2,1209,19055,2014-09-01,2014,9,185000
3,2,1476,19008,2014-08-01,2014,8,133900
3,2,1698,18970,2020-09-30,2020,9,175000
4,2,1210,18848,2021-10-15,2021,10,177900
6,4,2896,18583,2022-03-03,2022,3,254000
3,1,1334,18583,2022-01-06,2022,1,195000
6,4,2896,18583,2020-05-04,2020,5,225000
3,2,1480,18532,2014-03-01,2014,3,125000
3,2,1480,18532,2017-06-01,2017,6,150000
4,2,1109,18414,2020-04-09,2020,4,155500
4,2,1109,18414,2016-12-01,2016,12,100000
3,1,956,18390,2013-08-01,2013,8,59000
3,3,2524,18270,2015-06-01,2015,6,245000
3,3,2524,18270,2016-09-01,2016,9,254500
4,3,2025,18232,2020-07-22,2020,7,314000
3,2,1373,18220,2016-12-01,2016,12,201000
3,2,1229,18209,2018-11-01,2018,11,96900
4,4,4258,18096,2014-11-01,2014,11,350000
5,4,4258,18096,2016-11-01,2016,11,343250
3,2,1494,18084,2021-10-25,2021,10,189000
3,3,1897,18006,2018-01-01,2018,1,170000
4,2,1485,18000,2022-12-07,2022,12,169750
4,2,1679,18000,2022-06-16,2022,6,280000
4,1,1321,18000,2020-04-22,2020,4,120000
4,2,2112,18000,2019-06-24,2019,6,235012
4,2,1623,18000,2015-10-01,2015,10,155000
3,3,2515,17990,2014-01-01,2014,1,245000
3,2,1721,17823,2023-05-31,2023,5,178000
3,2,1392,17820,2023-05-05,2023,5,80000
3,2,1392,17820,2023-09-29,2023,9,199000
5,3,2598,17820,2023-04-25,2023,4,220000
5,3,2598,17820,2022-07-20,2022,7,135000
2,1,1206,17756,2018-07-01,2018,7,190000
4,1,1686,17694,2021-09-28,2021,9,100000
3,1,1094,17650,2022-10-28,2022,10,222998
3,3,2174,17569,2015-05-01,2015,5,243000
4,2,1554,17550,2020-10-19,2020,10,184000
3,2,1060,17550,2020-08-27,2020,8,150000
3,2,1982,17523,2018-11-01,2018,11,216000
4,2,2080,17500,2013-04-01,2013,4,168000
2,1,1140,17473,2020-04-08,2020,4,178000
2,1,1140,17473,2013-04-01,2013,4,104900
2,3,2370,17458,2013-10-01,2013,10,290000
3,3,2000,17458,2015-06-01,2015,6,140000
4,3,2480,17408,2021-01-15,2021,1,353500
3,3,7000,17375,2016-04-01,2016,4,325000
3,3,1057,17360,2022-04-21,2022,4,130000
4,3,2573,17339,2023-07-10,2023,7,364900
4,3,1965,17326,2017-03-01,2017,3,197500
3,2,1900,17325,2020-07-15,2020,7,223000
3,1,1054,17227,2023-05-05,2023,5,133400
3,2,1368,17227,2018-05-01,2018,5,110000
3,3,2293,17190,2020-10-30,2020,10,305000
2,1,1180,17100,2013-12-01,2013,12,147000
4,4,2703,16999,2013-01-01,2013,1,347500
4,4,2703,16999,2015-07-01,2015,7,335000
3,4,2496,16956,2014-11-01,2014,11,367900
4,3,2683,16750,2017-06-01,2017,6,300000
4,4,2271,16632,2018-05-01,2018,5,296000
4,4,2615,16588,2020-02-13,2020,2,357000
4,4,2615,16588,2020-10-15,2020,10,369900
2,1,1433,16585,2013-07-01,2013,7,147000
5,5,3333,16563,2014-10-01,2014,10,318000
3,2,1691,16512,2014-06-01,2014,6,168500
4,4,2478,16453,2016-12-01,2016,12,259000
4,3,3106,16452,2016-02-01,2016,2,281000
4,3,3498,16435,2019-05-31,2019,5,330000
4,4,2770,16401,2020-03-26,2020,3,285900
4,4,2770,16401,2016-10-01,2016,10,234000
3,1,1082,16380,2022-09-02,2022,9,55000
4,3,2145,16353,2022-03-08,2022,3,360000
4,2,1192,16320,2021-03-10,2021,3,284905
4,2,2076,16320,2021-02-22,2021,2,275000
4,2,2076,16320,2015-03-01,2015,3,175000
4,2,1420,16303,2020-02-28,2020,2,175000
3,2,2102,16294,2017-11-01,2017,11,210000
4,2,1725,16271,2017-04-01,2017,4,181000
4,2,1882,16237,2020-11-24,2020,11,219900
3,3,3208,16204,2016-07-01,2016,7,365000
3,2,1740,16200,2016-12-01,2016,12,135000
4,3,2229,16177,2021-07-09,2021,7,332100
4,3,2229,16177,2018-07-01,2018,7,250000
4,3,3040,16170,2013-01-01,2013,1,66000
3,3,1441,16170,2018-08-01,2018,8,219900
4,4,3379,16099,2018-10-01,2018,10,340000
2,2,1335,16080,2022-04-18,2022,4,216450
2,2,1335,16080,2016-07-01,2016,7,85000
3,1,1104,16060,2021-09-27,2021,9,111500
3,3,1857,16042,2020-09-01,2020,9,255000
3,3,2112,16000,2018-08-01,2018,8,289500
3,2,1253,15960,2020-10-12,2020,10,225000
3,1,1430,15960,2015-08-01,2015,8,123900
4,4,2901,15953,2018-09-01,2018,9,329500
4,3,2279,15938,2021-07-26,2021,7,370000
4,3,2236,15918,2020-10-16,2020,10,330000
4,4,2484,15876,2020-08-05,2020,8,300000
3,2,2793,15840,2015-06-01,2015,6,351000
4,3,2356,15756,2023-05-19,2023,5,377400
8,3,2137,15756,2022-06-02,2022,6,351000
4,3,2137,15756,2013-03-01,2013,3,192000
4,3,3214,15738,2013-05-01,2013,5,315000
4,4,3214,15738,2017-03-01,2017,3,340000
5,2,2128,15730,2021-02-19,2021,2,62000
4,4,2326,15723,2016-12-01,2016,12,340000
5,2,1936,15720,2023-06-08,2023,6,165000
4,3,3059,15705,2016-06-01,2016,6,350000
3,3,2712,15700,2022-09-14,2022,9,320000
3,3,2712,15700,2016-05-01,2016,5,237500
4,2,2044,15660,2020-11-19,2020,11,294900
4,2,2044,15660,2015-06-01,2015,6,206500
4,3,2845,15638,2015-03-01,2015,3,268000
4,3,2589,15602,2019-06-28,2019,6,300000
3,1,1012,15600,2017-11-01,2017,11,137000
3,2,1105,15550,2023-05-31,2023,5,120000
4,4,2804,15537,2018-08-01,2018,8,309000
3,2,2103,15536,2023-12-19,2023,12,205000
4,2,1744,15530,2018-08-01,2018,8,183100
4,4,3045,15527,2022-09-27,2022,9,307500
3,2,1348,15512,2020-01-21,2020,1,190000
3,2,1509,15504,2020-09-18,2020,9,165000
4,3,2013,15484,2016-02-01,2016,2,133000
3,2,960,15480,2021-10-08,2021,10,230000
3,2,1952,15480,2020-12-23,2020,12,275000
4,3,2669,15415,2017-03-01,2017,3,284700
4,3,2112,15410,2020-05-11,2020,5,256000
4,3,2112,15410,2013-10-01,2013,10,215000
4,3,2112,15410,2018-06-01,2018,6,250000
6,3,2861,15409,2022-07-08,2022,7,32900
3,1,1413,15400,2022-08-30,2022,8,227000
3,3,2286,15399,2014-05-01,2014,5,255000
3,3,2286,15399,2018-02-01,2018,2,238750
3,4,2080,15390,2021-11-05,2021,11,360000
3,2,2080,15390,2019-10-14,2019,10,260000
3,4,2080,15390,2015-07-01,2015,7,210000
3,3,2004,15300,2023-03-20,2023,3,220000
4,3,2481,15300,2017-08-01,2017,8,299000
4,2,1743,15280,2017-07-01,2017,7,242500
6,4,2967,15261,2015-02-01,2015,2,141000
5,2,2408,15210,2016-12-01,2016,12,207000
3,3,1952,15210,2018-11-01,2018,11,200000
4,3,2870,15201,2016-06-01,2016,6,287500
5,2,2680,15105,2016-01-01,2016,1,271000
4,2,1478,15071,2015-11-01,2015,11,150100
4,2,1620,15040,2017-06-01,2017,6,185000
5,2,2204,15000,2022-09-08,2022,9,290000
4,3,2604,15000,2020-09-28,2020,9,375000
5,2,2350,15000,2013-06-01,2013,6,195000
4,3,2482,15000,2014-09-01,2014,9,205000
3,2,2463,15000,2016-03-01,2016,3,293000
4,3,2343,15000,2018-07-01,2018,7,269400
7,3,2666,14985,2013-01-01,2013,1,106900
3,1,1103,14960,2020-12-01,2020,12,169000
3,2,1826,14948,2023-07-25,2023,7,275000
6,4,2451,14879,2021-03-04,2021,3,168500
6,4,2451,14879,2020-09-18,2020,9,138000
6,2,2981,14850,2022-01-27,2022,1,325000
3,1,1166,14850,2017-11-01,2017,11,64000
4,2,1644,14840,2016-08-01,2016,8,225000
3,4,2530,14820,2018-04-01,2018,4,312500
3,2,1916,14772,2016-09-01,2016,9,182500
4,4,2270,14760,2021-08-18,2021,8,285000
3,1,1263,14670,2023-03-07,2023,3,160000
4,3,2485,14634,2018-10-01,2018,10,314900
3,3,2905,14560,2018-08-01,2018,8,275000
6,4,2929,14541,2018-05-01,2018,5,260000
5,3,2384,14534,2014-06-01,2014,6,233000
4,3,1923,14496,2017-04-01,2017,4,183000
5,3,1908,14462,2022-08-19,2022,8,295000
4,3,2365,14445,2021-06-21,2021,6,358000
4,3,2480,14445,2020-09-15,2020,9,371100
4,3,1580,14400,2020-10-30,2020,10,179000
4,2,1743,14400,2015-07-01,2015,7,151900
3,4,1784,14400,2018-12-01,2018,12,177000
3,2,1892,14381,2021-07-09,2021,7,221000
3,2,1874,14365,2019-04-26,2019,4,235000
4,3,2495,14316,2018-07-01,2018,7,294900
4,2,1415,14310,2014-09-01,2014,9,155000
4,2,1415,14310,2016-11-01,2016,11,155000
4,3,2684,14292,2019-09-20,2019,9,300000
3,2,1400,14292,2014-08-01,2014,8,136000
4,3,2784,14280,2019-02-19,2019,2,322000
4,3,2385,14280,2018-09-01,2018,9,316000
4,2,1753,14260,2020-04-07,2020,4,200000
4,2,1753,14260,2014-04-01,2014,4,145000
3,2,1556,14250,2022-06-10,2022,6,275000
3,3,2778,14250,2016-06-01,2016,6,252500
3,3,2494,14250,2018-05-01,2018,5,227000
2,3,1224,14193,2020-07-01,2020,7,218400
2,2,1224,14193,2017-01-01,2017,1,115000
9,1,1157,14190,2022-08-18,2022,8,70000
4,2,2075,14184,2022-02-14,2022,2,330000
3,2,2292,14157,2021-05-27,2021,5,305000
4,2,1859,14148,2018-07-01,2018,7,195000
4,2,1176,14144,2017-07-01,2017,7,116000
6,2,1822,14110,2022-01-25,2022,1,183000
2,2,1932,14100,2013-11-01,2013,11,72000
3,2,1941,14070,2020-09-21,2020,9,100000
4,3,2649,14040,2020-04-07,2020,4,325000
5,3,2707,14038,2016-12-01,2016,12,270000
4,3,2864,14002,2017-05-01,2017,5,256000
2,1,980,13975,2022-04-08,2022,4,132000
4,3,1868,13930,2015-07-01,2015,7,65000
8,3,1937,13860,2022-02-04,2022,2,279999
6,1,1238,13840,2022-01-18,2022,1,254000
3,1,1238,13840,2021-05-06,2021,5,158000
4,2,2240,13824,2022-09-01,2022,9,289900
5,3,2287,13804,2014-10-01,2014,10,131900
4,4,2194,13783,2020-06-30,2020,6,312500
4,3,2025,13776,2021-04-14,2021,4,355000
3,3,1903,13770,2018-12-01,2018,12,245000
3,3,1899,13758,2021-01-19,2021,1,275000
3,2,1525,13728,2015-06-01,2015,6,79900
4,2,1985,13716,2022-08-03,2022,8,190000
4,3,2571,13712,2019-10-18,2019,10,299500
3,2,1487,13703,2022-04-14,2022,4,265000
3,1,1487,13703,2016-05-01,2016,5,163000
3,2,1636,13668,2022-09-21,2022,9,325000
4,2,1328,13662,2017-09-01,2017,9,185000
3,3,2862,13634,2023-08-31,2023,8,37900
3,2,1378,13632,2023-11-14,2023,11,305000
6,4,3213,13632,2022-08-24,2022,8,275000
3,2,1378,13632,2016-09-01,2016,9,183876
4,2,1612,13630,2022-12-30,2022,12,259900
4,2,1612,13630,2019-07-02,2019,7,185000
4,2,1539,13602,2023-03-08,2023,3,132500
4,2,1539,13602,2023-12-05,2023,12,212000
4,1,1337,13600,2014-05-01,2014,5,90000
8,2,1975,13592,2022-09-01,2022,9,345000
4,2,1975,13592,2021-05-24,2021,5,300000
4,2,1975,13592,2014-06-01,2014,6,215000
4,2,2200,13588,2016-04-01,2016,4,190000
4,2,2134,13585,2017-11-01,2017,11,115000
3,2,1600,13578,2021-03-26,2021,3,133000
4,2,1173,13568,2019-03-25,2019,3,163000
3,3,2186,13564,2015-04-01,2015,4,178000
2,1,874,13548,2016-04-01,2016,4,59900
3,2,1196,13545,2023-07-13,2023,7,266000
3,3,2423,13500,2016-07-01,2016,7,295000
3,1,1259,13500,2017-08-01,2017,8,180000
6,3,4422,13468,2019-09-15,2019,9,226000
4,4,2675,13464,2016-04-01,2016,4,247500
5,2,1510,13438,2023-12-11,2023,12,186850
5,3,2682,13390,2015-08-01,2015,8,254900
4,2,1441,13380,2020-08-25,2020,8,174000
3,2,1795,13380,2019-08-23,2019,8,220000
5,2,2071,13380,2016-12-01,2016,12,135000
4,3,2557,13376,2017-11-01,2017,11,254900
3,2,1326,13365,2014-05-01,2014,5,129900
3,3,2910,13362,2022-04-08,2022,4,325000
6,2,2434,13343,2020-08-28,2020,8,290000
3,2,1261,13317,2016-09-01,2016,9,195000
6,4,3136,13301,2018-06-01,2018,6,275000
4,3,2595,13287,2019-06-27,2019,6,269800
4,2,1790,13260,2022-06-29,2022,6,300000
3,2,1674,13260,2022-12-07,2022,12,326000
4,3,2356,13258,2014-10-01,2014,10,240000
4,2,2159,13250,2020-09-14,2020,9,200000
2,1,974,13248,2017-09-01,2017,9,64000
7,4,3385,13244,2016-03-01,2016,3,285000
4,3,2108,13230,2021-03-03,2021,3,188600
3,2,1365,13200,2023-02-10,2023,2,305000
4,2,1545,13200,2021-10-20,2021,10,225000
3,2,1365,13200,2019-06-07,2019,6,227000
4,2,2045,13200,2017-09-01,2017,9,158000
6,4,2799,13128,2013-08-01,2013,8,310000
3,3,2191,13092,2013-11-01,2013,11,245000
4,4,2552,13092,2016-11-01,2016,11,244000
3,4,2365,13088,2021-12-30,2021,12,375000
4,3,2237,13075,2021-07-06,2021,7,299900
4,3,2431,13068,2019-10-15,2019,10,266900
4,3,2431,13068,2015-06-01,2015,6,229000
4,2,1420,13050,2023-08-10,2023,8,200000
6,2,1678,13044,2022-02-11,2022,2,251660
5,3,2337,13038,2020-08-17,2020,8,250000
4,2,1228,13035,2022-09-14,2022,9,175000
2,1,920,13028,2021-11-04,2021,11,115000
2,1,920,13028,2018-05-01,2018,5,88000
3,3,2016,13000,2022-10-21,2022,10,365000
4,2,1104,13000,2021-07-13,2021,7,100000
4,3,2405,13000,2014-08-01,2014,8,293000
4,4,2672,13000,2016-03-01,2016,3,242000
4,1,1104,13000,2017-06-01,2017,6,60000
4,1,1104,13000,2017-06-01,2017,6,91485
3,4,2247,13000,2018-07-01,2018,7,140000
3,2,2058,12992,2019-08-29,2019,8,250000
4,2,2362,12960,2023-11-01,2023,11,245000
4,1,1186,12960,2022-08-18,2022,8,172900
4,2,2362,12960,2021-08-10,2021,8,179000
4,3,2812,12950,2019-03-29,2019,3,241000
3,3,2320,12905,2021-07-13,2021,7,360000
5,3,2215,12900,2014-12-01,2014,12,242500
4,3,1953,12900,2018-05-01,2018,5,245000
3,3,1788,12895,2021-03-26,2021,3,262000
4,2,1848,12880,2022-11-21,2022,11,200000
3,2,1353,12876,2019-10-29,2019,10,210900
3,2,1353,12876,2016-12-01,2016,12,155000
5,3,2130,12870,2021-03-31,2021,3,246000
3,2,1266,12864,2015-09-01,2015,9,150100
4,3,2698,12852,2016-04-01,2016,4,245200
4,2,1738,12850,2018-05-01,2018,5,180000
4,3,2561,12826,2021-12-09,2021,12,280000
4,3,1926,12825,2017-06-01,2017,6,165000
4,3,1704,12800,2023-11-22,2023,11,297000
3,2,1200,12780,2017-06-01,2017,6,115500
4,3,1877,12779,2020-03-30,2020,3,220000
4,3,1877,12779,2014-10-01,2014,10,155000
2,1,900,12761,2023-08-30,2023,8,105000
5,3,1899,12750,2018-07-01,2018,7,249000
5,3,2730,12745,2013-12-01,2013,12,289900
4,2,1895,12734,2021-10-29,2021,10,285000
4,2,2091,12733,2022-05-27,2022,5,293700
4,2,1605,12733,2016-03-01,2016,3,159000
4,2,1605,12733,2017-06-01,2017,6,205000
4,2,1227,12728,2017-03-01,2017,3,155000
3,2,1121,12696,2021-09-10,2021,9,250000
3,1,1161,12692,2020-08-06,2020,8,128000
5,2,2109,12672,2017-04-01,2017,4,159000
5,2,2109,12672,2018-07-01,2018,7,180000
4,3,2087,12654,2013-09-01,2013,9,231000
4,3,2087,12653,2018-05-01,2018,5,263500
4,4,2820,12648,2015-07-01,2015,7,320000
3,1,917,12632,2022-09-22,2022,9,160000
3,4,2236,12620,2021-11-18,2021,11,350000
2,2,2433,12610,2017-11-01,2017,11,205000
3,2,1923,12600,2023-10-23,2023,10,289000
7,2,3600,12600,2023-07-27,2023,7,90000
4,2,1412,12600,2022-09-16,2022,9,245000
3,4,2324,12600,2022-12-15,2022,12,330000
4,2,2464,12600,2021-05-28,2021,5,275000
5,1,1472,12600,2020-07-29,2020,7,32000
3,2,1618,12600,2016-07-01,2016,7,185000
3,2,1658,12600,2017-12-01,2017,12,227500
3,2,1923,12600,2018-09-01,2018,9,159900
6,4,2644,12600,2018-11-01,2018,11,120000
4,2,1523,12597,2022-02-17,2022,2,102500
2,1,1368,12593,2022-08-09,2022,8,148800
3,3,2444,12590,2015-06-01,2015,6,242000
6,2,1593,12556,2023-07-21,2023,7,220000
3,2,1593,12556,2021-11-15,2021,11,175000
4,3,2030,12545,2019-09-25,2019,9,285000
4,3,2030,12545,2013-09-01,2013,9,232500
3,3,2437,12526,2020-03-30,2020,3,300000
3,3,2437,12526,2014-09-01,2014,9,210000
3,2,1803,12525,2019-10-07,2019,10,255000
3,2,1803,12525,2013-10-01,2013,10,145000
4,3,2091,12500,2016-06-01,2016,6,220500
6,4,2785,12494,2021-04-20,2021,4,194500
4,4,1938,12480,2016-11-01,2016,11,181500
4,3,1938,12480,2018-04-01,2018,4,185000
4,2,2167,12464,2020-08-25,2020,8,253600
5,4,3224,12439,2017-10-01,2017,10,364900
4,4,2030,12432,2020-03-19,2020,3,225000
4,3,2023,12420,2018-02-01,2018,2,260000
2,1,1364,12400,2022-03-18,2022,3,174900
2,1,909,12400,2020-12-23,2020,12,149000
4,2,1850,12400,2013-07-01,2013,7,217000
4,2,1841,12400,2018-07-01,2018,7,214900
2,1,909,12400,2018-09-01,2018,9,125000
6,2,2115,12383,2016-07-01,2016,7,151900
4,3,2904,12379,2015-06-01,2015,6,259500
4,3,2857,12363,2016-07-01,2016,7,246000
5,4,2794,12362,2017-07-01,2017,7,280000
3,4,1864,12358,2015-03-01,2015,3,276000
4,4,2250,12352,2020-06-23,2020,6,268750
4,2,1827,12352,2015-02-01,2015,2,184000
4,2,2042,12350,2022-12-20,2022,12,294900
3,2,1701,12326,2018-07-01,2018,7,132000
3,1,978,12325,2017-04-01,2017,4,28000
3,1,1408,12320,2015-05-01,2015,5,58500
