proptype,district,nbhd,style,extwall,stories,year_built,rooms,finishedsqft,units,bdrms,fbath,hbath,lotsize,sale_date,sale_price,sale_year,sale_month
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-03-14,57000.0,2023.0,3.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-11-20,46500.0,2023.0,11.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-02-17,55000.0,2023.0,2.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-01-26,43500.0,2023.0,1.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,6.0,1249.0,1,4.0,1.0,1.0,1.0,2023-05-23,64000.0,2023.0,5.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,6.0,1249.0,1,4.0,1.0,1.0,1.0,2023-11-30,53000.0,2023.0,11.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-09-22,55000.0,2023.0,9.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-01-25,45000.0,2023.0,1.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-05-26,60000.0,2023.0,5.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-09-21,39000.0,2023.0,9.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-01-31,35000.0,2023.0,1.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,6.0,1249.0,1,4.0,1.0,1.0,1.0,2023-05-26,65500.0,2023.0,5.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-01-05,53900.0,2023.0,1.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-02-21,60000.0,2023.0,2.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-02-02,63500.0,2023.0,2.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-11-19,57000.0,2023.0,11.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-06-30,64000.0,2023.0,6.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-04-17,35000.0,2023.0,4.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-05-18,27000.0,2023.0,5.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-02-06,51000.0,2023.0,2.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-03-21,46000.0,2023.0,3.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,6.0,1249.0,1,4.0,1.0,1.0,1.0,2023-05-30,86000.0,2023.0,5.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-10-25,35000.0,2023.0,10.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-11-29,42000.0,2023.0,11.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,5.0,1054.0,1,3.0,1.0,1.0,1.0,2023-09-18,30000.0,2023.0,9.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,10.0,1054.0,1,6.0,1.0,1.0,1.0,2023-07-28,40000.0,2023.0,7.0
condominium,9.0,5060.0,condo townhouse,brick,2.5,1970.0,10.0,1054.0,1,6.0,1.0,1.0,1.0,2023-12-13,50700.0,2023.0,12.0
residential,9.0,40.0,colonial,aluminum/vinyl,2.0,2007.0,7.0,1624.0,1,3.0,2.0,1.0,7123.0,2023-12-06,196000.0,2023.0,12.0
residential,9.0,40.0,cape cod,aluminum/vinyl,1.0,1947.0,6.0,1247.0,1,4.0,1.0,1.0,81893.0,2023-06-01,150000.0,2023.0,6.0
residential,9.0,240.0,cape cod,fiber cement/hardiplank,1.5,2023.0,6.0,2862.0,1,3.0,3.0,0.0,13634.0,2023-08-31,37900.0,2023.0,8.0
residential,9.0,240.0,cape cod,fiber cement/hardiplank,1.5,2021.0,8.0,2430.0,1,3.0,2.0,1.0,15280.0,2023-11-03,507250.0,2023.0,11.0
condominium,9.0,5065.0,low rise 1-3 stories,brick,1.0,1979.0,3.0,664.0,1,1.0,1.0,0.0,1.0,2023-03-07,45000.0,2023.0,3.0
condominium,9.0,5065.0,low rise 1-3 stories,brick,1.0,1979.0,4.0,872.0,1,2.0,1.0,1.0,1.0,2023-06-06,91000.0,2023.0,6.0
condominium,9.0,5065.0,low rise 1-3 stories,brick,1.0,1979.0,3.0,678.0,1,1.0,1.0,0.0,1.0,2023-09-07,69000.0,2023.0,9.0
residential,9.0,240.0,townhouse,aluminum/vinyl,2.0,1971.0,10.0,2441.0,2,6.0,2.0,2.0,6284.0,2023-01-20,228000.0,2023.0,1.0
residential,9.0,240.0,townhouse,aluminum/vinyl,2.0,1971.0,10.0,2441.0,2,6.0,2.0,2.0,6000.0,2023-06-30,250000.0,2023.0,6.0
lg apartment,9.0,6610.0,ap1 (conventional apt with 4-6 units),masonary frame,2.0,1971.0,0.0,3700.0,4,0.0,0.0,0.0,11262.0,2023-06-05,303300.0,2023.0,6.0
residential,9.0,240.0,townhouse,aluminum/vinyl,2.0,1970.0,10.0,2423.0,2,6.0,2.0,2.0,6175.0,2023-02-06,265000.0,2023.0,2.0
lg apartment,9.0,6610.0,ap1 (conventional apt with 4-6 units),brick,2.0,1973.0,0.0,4936.0,5,0.0,0.0,0.0,13059.0,2023-08-03,455000.0,2023.0,8.0
residential,9.0,240.0,cottage,aluminum/vinyl,1.0,1938.0,5.0,711.0,1,2.0,1.0,0.0,7500.0,2023-11-15,129800.0,2023.0,11.0
residential,9.0,240.0,dplx bungalow,aluminum/vinyl,1.5,1926.0,9.0,2103.0,2,3.0,2.0,0.0,15536.0,2023-12-19,205000.0,2023.0,12.0
