Bdrms,Baths_total,FinishedSqft,Lotsize,Sale_date,Year,Month,Sale_price
4,1,1096,4800,2023-06-07,2023,6,150000
3,2,2171,29000,2023-06-05,2023,6,279000
2,2,1459,6240,2023-11-15,2023,11,193000
3,2,1236,9890,2023-10-30,2023,10,180000
2,1,1326,7380,2023-06-12,2023,6,129000
3,2,1485,6200,2023-11-30,2023,11,195000
3,2,1056,4880,2023-08-15,2023,8,190000
4,3,1386,10452,2023-12-29,2023,12,155000
5,2,1910,6500,2023-10-11,2023,10,161000
8,4,2051,5280,2023-07-05,2023,7,165500
5,3,2038,6000,2023-08-18,2023,8,102000
2,2,1359,4800,2023-07-20,2023,7,185000
3,2,2140,7200,2023-03-03,2023,3,191000
3,3,1479,6000,2023-06-30,2023,6,215000
4,2,1872,5236,2023-08-21,2023,8,106000
6,2,2040,5593,2023-11-08,2023,11,112000
6,2,2113,4720,2023-12-18,2023,12,170000
2,1,1081,5000,2023-02-10,2023,2,85000
3,2,1181,4800,2023-07-14,2023,7,130000
3,1,1248,4800,2023-03-14,2023,3,132500
4,2,1728,4800,2023-03-15,2023,3,204000
3,2,1575,5400,2023-02-24,2023,2,155000
4,1,930,4800,2023-08-21,2023,8,105000
2,2,822,5715,2023-12-27,2023,12,200000
4,3,2378,7500,2023-02-06,2023,2,240000
4,2,1512,5400,2023-04-20,2023,4,135000
3,1,1463,6000,2023-04-13,2023,4,59500
6,3,2618,6400,2023-10-13,2023,10,210000
2,1,956,6400,2023-12-13,2023,12,102000
3,2,1280,6400,2023-07-20,2023,7,141000
6,2,1190,8064,2023-02-21,2023,2,95000
6,2,1190,8064,2023-07-31,2023,7,199000
2,1,1075,6350,2023-08-10,2023,8,170000
3,1,960,5680,2023-10-13,2023,10,135000
4,2,1800,5396,2023-01-30,2023,1,160000
3,2,985,5200,2023-03-30,2023,3,179000
3,2,2085,11550,2023-07-27,2023,7,199000
3,2,1618,5940,2023-04-10,2023,4,100000
3,2,1392,11792,2023-07-28,2023,7,156000
2,2,1183,5120,2023-03-01,2023,3,93000
5,2,2380,5120,2023-03-20,2023,3,197000
3,1,1074,5120,2023-02-08,2023,2,91000
3,1,1074,5120,2023-11-30,2023,11,220000
6,2,2016,5967,2023-10-23,2023,10,187000
4,1,1040,6500,2023-11-08,2023,11,82000
4,1,970,5250,2023-05-08,2023,5,180000
4,2,1176,5500,2023-08-03,2023,8,195000
4,1,1028,5500,2023-10-16,2023,10,85000
6,2,1884,6360,2023-09-25,2023,9,225500
3,1,1045,4800,2023-10-13,2023,10,75000
8,2,1898,5670,2023-12-06,2023,12,185000
3,2,1679,5000,2023-07-20,2023,7,150000
4,2,1536,4920,2023-02-23,2023,2,107000
4,2,1898,4920,2023-01-31,2023,1,130000
5,4,2160,5000,2023-11-30,2023,11,254000
4,2,1449,10800,2023-01-05,2023,1,169900
4,2,1536,5202,2023-11-03,2023,11,135800
4,2,1536,5253,2023-08-01,2023,8,105000
4,2,1536,5355,2023-05-08,2023,5,79900
5,3,2544,7624,2023-11-27,2023,11,205000
6,2,1748,6000,2023-01-17,2023,1,176500
3,2,1387,4800,2023-09-07,2023,9,200000
3,2,1382,5280,2023-05-14,2023,5,230000
4,2,1872,5400,2023-11-06,2023,11,235000
4,2,1641,7076,2023-11-20,2023,11,247000
2,1,1157,6844,2023-04-25,2023,4,176000
4,2,1879,4800,2023-05-26,2023,5,158000
6,2,1976,4800,2023-04-21,2023,4,159900
4,1,1125,4920,2023-01-23,2023,1,143000
6,4,2193,5200,2023-05-12,2023,5,219900
2,1,965,6150,2023-06-28,2023,6,176000
6,4,2336,5400,2023-11-29,2023,11,220500
3,1,1274,6150,2023-11-03,2023,11,175000
4,3,1246,4800,2023-06-22,2023,6,210000
3,2,1488,3920,2023-10-11,2023,10,207000
3,3,2152,9625,2023-04-28,2023,4,165000
5,3,1999,7625,2023-10-25,2023,10,210000
5,2,1862,7800,2023-12-04,2023,12,200000
5,3,2489,7800,2023-03-02,2023,3,183000
5,3,2252,7534,2023-09-06,2023,9,220000
6,4,2257,6000,2023-10-11,2023,10,208000
5,2,1990,5400,2023-08-31,2023,8,190000
3,2,1183,4800,2023-09-08,2023,9,190000
4,3,1479,4840,2023-10-19,2023,10,179000
4,2,1432,5280,2023-07-31,2023,7,147000
3,2,2121,9792,2023-03-31,2023,3,224000
