,Style,Extwall,FinishedSqft,Lotsize,Bdrms,Baths_total,Sale_year,Sale_month,Sale_price
207,Cottage,Aluminum / Vinyl,504,5580,2,2,2013,8,92500
253,Cottage,Aluminum/Vinyl,532,3600,2,1,2023,8,253000
322,Residence O/S,Aluminum / Vinyl,550,8640,2,2,2018,5,190000
391,Rm or Rooming House,Aluminum / Vinyl,560,0,3,1,2018,12,103000
417,Rm or Rooming House,Aluminum / Vinyl,570,0,2,1,2015,7,186000
423,Cottage,Aluminum/Vinyl,572,7425,2,1,2020,12,85000
457,Cottage,Aluminum/Vinyl,581,3300,2,1,2023,8,175000
492,Ranch,Aluminum/Vinyl,597,18322,4,1,2022,4,113000
502,Cottage,Aluminum/Vinyl,600,1875,2,1,2021,9,175000
503,Cottage,Asphalt/Other,604,3810,2,1,2023,3,152500
504,Cottage,Asphalt/Other,604,3810,2,1,2022,12,110000
530,Cottage,Asphalt/Other,612,2575,2,1,2021,10,90000
546,Res O/S A & 1/2,Aluminum/Vinyl,616,3844,2,1,2023,9,115000
547,Cottage,Aluminum / Vinyl,618,4500,2,1,2017,7,80000
569,Rm or Rooming House,Aluminum / Vinyl,623,0,2,1,2016,11,155000
572,Ranch,Aluminum/Vinyl,624,6160,2,1,2021,10,106000
582,Ranch,Aluminum/Vinyl,624,5040,4,1,2023,9,108000
593,Ranch,Aluminum/Vinyl,624,5000,2,1,2020,12,148000
594,Ranch,Stucco,624,5000,2,1,2017,8,90600
598,Ranch,Aluminum / Vinyl,624,5000,2,1,2018,10,132000
599,Ranch,Aluminum/Vinyl,624,4960,2,1,2020,10,125000
610,Ranch,Aluminum / Vinyl,624,4960,2,1,2015,3,86500
611,Ranch,Aluminum/Vinyl,624,4800,2,1,2020,9,131000
616,Ranch,Aluminum / Vinyl,624,4800,2,1,2015,10,100000
623,Rm or Rooming House,Frame,624,0,2,1,2017,8,199900
629,Ranch,Aluminum/Vinyl,625,4800,4,2,2022,3,172000
642,Cottage,Stucco,632,5400,2,2,2020,10,115000
644,Ranch,Aluminum/Vinyl,633,4860,2,1,2020,4,122000
645,Ranch,Aluminum / Vinyl,633,4860,2,1,2017,5,89900
646,Ranch,Aluminum / Vinyl,635,5800,2,1,2017,7,112900
648,Ranch,Aluminum/Vinyl,637,4800,2,1,2023,10,170000
674,Cottage,Aluminum/Vinyl,640,6000,2,1,2021,5,175000
675,Cottage,Aluminum / Vinyl,640,6000,2,2,2013,11,97500
679,Ranch,Aluminum / Vinyl,643,4800,2,1,2013,8,99500
681,Ranch,Aluminum / Vinyl,643,4800,2,1,2016,7,111900
682,Ranch,Aluminum / Vinyl,644,4800,2,1,2018,5,117500
690,Ranch,Aluminum/Vinyl,645,5120,2,1,2022,9,165100
709,Ranch,Aluminum / Vinyl,645,5000,2,1,2018,4,125000
710,Ranch,Aluminum/Vinyl,646,4800,2,1,2022,5,170000
711,Ranch,Aluminum/Vinyl,646,4800,2,1,2020,4,115000
714,Res O/S 1 Story,Aluminum/Vinyl,647,4800,2,1,2023,11,150000
720,Res O/S A & 1/2,Aluminum/Vinyl,648,4699,2,1,2021,7,143000
724,Ranch,Asphalt/Other,651,5400,2,1,2023,11,170000
727,Ranch,Aluminum/Vinyl,651,5400,2,1,2022,10,127000
731,Ranch,Aluminum/Vinyl,651,5400,2,1,2022,9,120000
739,Ranch,Aluminum/Vinyl,656,4320,2,1,2023,10,170000
752,Cottage,Frame,656,3900,2,1,2017,2,107000
753,Rm or Rooming House,Aluminum / Vinyl,656,0,2,1,2016,7,80000
826,Ranch,Aluminum/Vinyl,667,4588,2,1,2023,11,137000
840,Ranch,Aluminum/Vinyl,667,4464,2,1,2021,7,83000
843,Ranch,Aluminum/Vinyl,667,4080,2,1,2021,6,81000
846,Ranch,Asphalt/Other,667,3720,2,1,2020,6,95000
851,Ranch,Aluminum/Vinyl,667,3600,2,1,2022,11,80000
857,Ranch,Aluminum/Vinyl,667,3600,2,1,2021,9,85000
858,Ranch,Aluminum/Vinyl,667,3600,2,1,2021,7,80000
882,Ranch,Aluminum/Vinyl,669,5400,2,1,2022,12,175000
889,Ranch,Aluminum/Vinyl,670,5160,2,1,2023,7,179000
905,Ranch,Aluminum/Vinyl,672,9450,2,1,2020,9,122500
906,Ranch,Aluminum/Vinyl,672,8400,2,1,2020,9,120000
921,Ranch,Aluminum/Vinyl,672,7750,2,1,2020,5,115000
926,Ranch,Aluminum/Vinyl,672,7473,2,1,2023,4,185000
927,Ranch,Aluminum / Vinyl,672,7473,2,1,2017,11,83000
930,Ranch,Aluminum/Vinyl,672,7000,2,1,2023,6,163000
932,Ranch,Aluminum/Vinyl,672,6700,2,1,2023,8,190000
942,Ranch,Aluminum/Vinyl,672,6552,2,1,2021,3,171000
952,Ranch,Aluminum / Vinyl,672,6500,3,2,2018,11,80000
953,Ranch,Aluminum/Vinyl,672,6480,2,1,2023,8,107000
955,Ranch,Prem Wood,672,6440,2,1,2022,8,88000
957,Ranch,Aluminum/Vinyl,672,6360,2,1,2021,7,164000
958,Ranch,Aluminum/Vinyl,672,6300,2,1,2021,7,143900
960,Ranch,Aluminum / Vinyl,672,6200,2,1,2017,12,100000
962,Ranch,Aluminum/Vinyl,672,6064,2,1,2022,8,160000
964,Ranch,Aluminum / Vinyl,672,6050,2,1,2017,2,125000
965,Ranch,Aluminum/Vinyl,672,6000,2,1,2023,3,172000
966,Ranch,Aluminum/Vinyl,672,6000,2,1,2022,8,130000
967,Ranch,Aluminum/Vinyl,672,6000,2,1,2021,3,150000
968,Ranch,Aluminum/Vinyl,672,6000,2,1,2020,9,155000
972,Ranch,Aluminum / Vinyl,672,6000,2,1,2016,12,83000
978,Ranch,Aluminum/Vinyl,672,5880,2,2,2021,6,199900
979,Ranch,Aluminum / Vinyl,672,5880,2,1,2017,10,119000
980,Ranch,Aluminum / Vinyl,672,5880,2,1,2018,6,131000
981,Ranch,Asphalt/Other,672,5859,2,1,2023,1,170000
986,Ranch,Aluminum / Vinyl,672,5720,2,2,2013,8,118900
987,Ranch,Aluminum / Vinyl,672,5670,2,1,2016,11,102000
988,Ranch,Frame,672,5640,2,1,2017,4,80000
989,Ranch,Aluminum/Vinyl,672,5633,2,1,2020,8,156000
992,Ranch,Aluminum/Vinyl,672,5610,2,1,2021,11,85000
995,Cape Cod,Aluminum / Vinyl,672,5600,2,1,2013,10,82900
997,Ranch,Aluminum / Vinyl,672,5504,2,1,2018,8,105000
999,Ranch,Aluminum/Vinyl,672,5500,2,1,2023,12,184000
1003,Ranch,Aluminum/Vinyl,672,5500,2,1,2021,6,135000
1004,Ranch,Aluminum/Vinyl,672,5490,2,1,2022,8,133000
1006,Ranch,Aluminum / Vinyl,672,5445,2,1,2018,3,145000
1007,Ranch,Aluminum/Vinyl,672,5400,2,1,2021,3,136500
1008,Ranch,Aluminum/Vinyl,672,5400,2,1,2021,10,90000
1011,Ranch,Asphalt/Other,672,5300,2,1,2023,7,88000
1014,Ranch,Aluminum/Vinyl,672,5280,2,1,2022,7,181000
1015,Ranch,Aluminum/Vinyl,672,5250,2,1,2022,12,125000
1016,Ranch,Aluminum/Vinyl,672,5250,2,1,2021,6,180100
1019,Ranch,Aluminum/Vinyl,672,5240,2,1,2022,4,200000
1023,Ranch,Aluminum / Vinyl,672,5240,2,2,2016,7,123500
1025,Ranch,Aluminum / Vinyl,672,5240,2,1,2017,5,90000
1029,Ranch,Aluminum / Vinyl,672,5240,2,2,2018,3,144000
1033,Ranch,Aluminum / Vinyl,672,5240,2,1,2018,10,120000
1034,Ranch,Aluminum / Vinyl,672,5240,2,1,2018,10,100000
1035,Ranch,Aluminum/Vinyl,672,5200,2,1,2023,11,106000
1042,Ranch,Aluminum/Vinyl,672,5120,2,1,2023,4,94250
1043,Ranch,Frame,672,5117,2,1,2018,7,92500
1046,Ranch,Asphalt/Other,672,5040,2,1,2022,4,105078
1047,Ranch,Aluminum/Vinyl,672,5040,2,1,2021,3,143500
1049,Ranch,Aluminum/Vinyl,672,5040,2,1,2021,11,186000
1051,Ranch,Aluminum/Vinyl,672,5000,2,1,2023,5,181000
1060,Ranch,Aluminum / Vinyl,672,5000,2,1,2013,7,92900
1061,Ranch,Aluminum/Vinyl,672,4998,2,1,2021,3,127000
1064,Ranch,Aluminum / Vinyl,672,4998,2,1,2018,4,110000
1072,Ranch,Aluminum/Vinyl,672,4920,2,1,2023,1,105000
1077,Ranch,Aluminum/Vinyl,672,4920,2,1,2022,3,85500
1079,Ranch,Asphalt/Other,672,4920,2,1,2022,6,87800
1086,Ranch,Aluminum/Vinyl,672,4880,2,1,2022,7,112000
1098,Ranch,Aluminum/Vinyl,672,4860,4,1,2022,4,134000
1101,Ranch,Aluminum / Vinyl,672,4860,2,1,2018,10,87000
1106,Ranch,Aluminum / Vinyl,672,4840,2,1,2018,7,115000
1115,Ranch,Aluminum/Vinyl,672,4800,2,1,2022,8,98000
1128,Ranch,Aluminum/Vinyl,672,4800,2,1,2021,10,121000
1129,Ranch,Wood,672,4800,2,1,2020,7,115650
1131,Ranch,Aluminum/Vinyl,672,4800,2,1,2020,6,124000
1132,Ranch,Aluminum/Vinyl,672,4800,2,1,2020,7,155000
1133,Ranch,Aluminum / Vinyl,672,4800,2,1,2013,8,120000
1135,Ranch,Aluminum / Vinyl,672,4800,2,1,2015,7,100000
1139,Ranch,Aluminum / Vinyl,672,4800,2,1,2016,4,105000
1140,Ranch,Aluminum / Vinyl,672,4800,2,1,2018,2,129500
1141,Ranch,Aluminum / Vinyl,672,4800,2,1,2018,3,104000
1142,Ranch,Aluminum / Vinyl,672,4800,2,1,2018,3,106500
1143,Ranch,Aluminum / Vinyl,672,4800,2,1,2018,8,140000
1145,Ranch,Aluminum / Vinyl,672,4800,2,1,2018,9,116000
1149,Ranch,Aluminum/Vinyl,672,3840,4,2,2022,3,179900
1151,Res O/S A & 1/2,Asphalt/Other,672,2628,2,1,2021,9,167766
1152,Cottage,Frame,672,2540,2,1,2015,3,80000
1153,Rm or Rooming House,Aluminum / Vinyl,672,0,2,1,2017,5,150000
1156,Cottage,Stucco,678,7980,2,1,2023,11,145000
1158,Ranch,Aluminum/Vinyl,679,6210,2,1,2022,10,192000
1159,Ranch,Aluminum/Vinyl,679,6210,2,1,2020,4,122000
1160,Ranch,Aluminum / Vinyl,679,6210,2,1,2015,6,110000
1161,Ranch,Aluminum / Vinyl,679,6210,2,1,2017,5,119000
1162,Ranch,Aluminum/Vinyl,679,5520,2,1,2023,9,168000
1163,Ranch,Aluminum/Vinyl,679,5520,2,1,2020,3,135000
1164,Ranch,Aluminum/Vinyl,679,5160,4,1,2022,2,152500
1165,Ranch,Aluminum / Vinyl,679,5080,2,1,2018,4,93000
1166,Ranch,Aluminum / Vinyl,679,5080,2,1,2018,8,116000
1167,Ranch,Aluminum/Vinyl,679,5040,4,1,2022,10,202000
1168,Ranch,Aluminum/Vinyl,679,5040,2,1,2020,7,150500
1170,Ranch,Wood,679,5000,2,1,2023,4,160000
1171,Res O/S 1 Story,Aluminum/Vinyl,679,4800,2,2,2023,9,230000
1172,Residence O/S,Aluminum / Vinyl,679,4800,2,2,2016,4,119900
1173,Ranch,Aluminum/Vinyl,679,4708,2,1,2021,6,160000
1175,Ranch,Aluminum/Vinyl,680,7800,2,1,2023,2,122500
1176,Cottage,Aluminum/Vinyl,680,6750,2,1,2020,9,98000
1179,Ranch,Aluminum/Vinyl,680,5850,2,1,2023,12,80000
1180,Ranch,Aluminum/Vinyl,680,5060,2,1,2023,10,165000
1181,Ranch,Aluminum/Vinyl,680,5060,2,1,2023,12,225000
1182,Ranch,Aluminum/Vinyl,680,5060,2,1,2022,3,189900
1183,Ranch,Aluminum / Vinyl,680,5060,2,1,2016,8,83000
1185,Cottage,Aluminum/Vinyl,680,4800,2,1,2020,9,107000
1189,Rm or Rooming House,Frame,680,0,3,1,2016,7,245000
1193,Ranch,Aluminum/Vinyl,681,5400,4,1,2022,2,157000
1194,Cottage,Brick,681,5400,2,1,2021,8,90000
1196,Ranch,Aluminum/Vinyl,681,4800,2,1,2020,5,130000
1197,Ranch,Aluminum / Vinyl,681,4800,2,2,2016,12,94000
1200,Cottage,Aluminum/Vinyl,682,5670,2,1,2020,4,90000
1201,Ranch,Aluminum/Vinyl,682,5203,2,1,2022,5,110000
1204,Rm or Rooming House,Aluminum / Vinyl,683,0,2,1,2013,2,149900
1206,Ranch,Brick,684,7506,2,1,2013,2,138000
1207,Res O/S A & 1/2,Asphalt/Other,684,5000,2,1,2021,7,80000
1225,Ranch,Aluminum / Vinyl,685,4000,2,1,2017,9,129900
1226,Cottage,Aluminum/Vinyl,685,3660,2,1,2020,9,84900
1230,Ranch,Aluminum / Vinyl,686,5080,2,1,2016,7,92000
1231,Ranch,Aluminum/Vinyl,686,4800,2,1,2022,4,150000
1236,Ranch,Aluminum / Vinyl,686,4800,2,1,2014,4,118000
1238,Ranch,Aluminum / Vinyl,686,4800,2,1,2018,4,142000
1250,Ranch,Aluminum / Vinyl,687,5000,2,1,2013,7,95000
1276,Ranch,Wood,688,5640,2,1,2023,9,155000
1277,Ranch,Aluminum/Vinyl,688,5640,2,1,2023,1,155000
1278,Ranch,Aluminum/Vinyl,688,5640,2,1,2022,5,144900
1279,Ranch,Wood,688,5640,2,1,2021,5,121000
1280,Ranch,Aluminum/Vinyl,688,5640,2,1,2021,6,108000
1281,Ranch,Wood,688,5640,2,1,2021,7,120000
1286,Ranch,Wood,688,5640,2,1,2021,2,111000
1300,Ranch,Wood,688,5520,2,1,2023,6,129900
1301,Ranch,Wood,688,5520,2,1,2022,11,128000
1302,Ranch,Wood,688,5520,2,1,2022,5,110000
1322,Ranch,Aluminum/Vinyl,689,4920,2,1,2022,9,167500
1326,Ranch,Frame,689,4920,2,1,2014,5,89000
1336,Ranch,Aluminum/Vinyl,689,4800,2,1,2022,11,185000
1337,Ranch,Aluminum/Vinyl,689,4800,2,1,2020,8,150000
1338,Ranch,Aluminum/Vinyl,689,4800,2,1,2020,5,150000
1340,Ranch,Aluminum/Vinyl,689,4800,2,2,2020,9,185500
1342,Ranch,Aluminum / Vinyl,689,4800,2,1,2014,8,92900
1347,Ranch,Stucco,689,4800,2,1,2017,11,111000
1348,Ranch,Aluminum / Vinyl,689,4800,2,1,2018,5,115000
1349,Ranch,Aluminum/Vinyl,689,4440,2,1,2020,3,161000
1350,Ranch,Aluminum / Vinyl,689,4440,2,1,2013,9,123000
1354,Ranch,Aluminum/Vinyl,689,4320,2,1,2022,9,160000
1358,Cottage,Aluminum/Vinyl,691,7425,4,1,2022,2,130000
1362,Cottage,Aluminum/Vinyl,691,1880,2,1,2023,11,120000
1363,Ranch,Aluminum / Vinyl,692,6300,2,1,2014,12,85000
1364,Ranch,Aluminum/Vinyl,692,5984,2,1,2021,9,136000
1367,Cottage,Aluminum/Vinyl,692,5715,2,1,2020,9,114000
1368,Ranch,Aluminum/Vinyl,692,5580,2,1,2022,9,134000
1369,Ranch,Aluminum / Vinyl,692,5580,2,1,2016,5,85900
1373,Ranch,Aluminum/Vinyl,692,5040,2,1,2023,2,145000
1385,Cape Cod,Aluminum/Vinyl,694,5000,2,1,2021,3,129500
1386,Cape Cod,Aluminum/Vinyl,694,5000,2,1,2020,4,111000
1388,Cape Cod,Aluminum/Vinyl,694,4920,2,1,2022,8,112500
1392,Ranch,Aluminum/Vinyl,696,6525,2,1,2023,6,185000
1395,Ranch,Aluminum/Vinyl,696,5000,2,1,2022,4,167200
1396,Ranch,Aluminum/Vinyl,696,4800,2,1,2021,5,162250
1397,Ranch,Aluminum / Vinyl,696,4440,2,1,2017,4,85000
1401,Residence O/S,Aluminum / Vinyl,697,3870,2,1,2013,7,86000
1405,Cape Cod,Aluminum/Vinyl,698,6192,2,2,2023,9,177000
1407,Cape Cod,Aluminum/Vinyl,698,6000,2,1,2023,5,180000
1417,Ranch,Aluminum/Vinyl,698,5040,2,1,2020,10,101758
1418,Ranch,Aluminum/Vinyl,698,4880,2,1,2020,11,158000
1419,Ranch,Asphalt/Other,698,4800,2,1,2023,12,155000
1421,Ranch,Asphalt/Other,698,4800,2,2,2022,7,160000
1422,Ranch,Aluminum/Vinyl,698,4800,2,1,2020,8,130000
1423,Ranch,Aluminum/Vinyl,698,4800,2,1,2020,8,125900
1424,Ranch,Aluminum / Vinyl,698,4800,2,1,2016,1,99500
1430,Ranch,Aluminum / Vinyl,698,4800,2,1,2018,4,100000
1431,Ranch,Aluminum/Vinyl,698,4760,2,1,2021,8,136000
1440,Ranch,Aluminum/Vinyl,698,4720,4,1,2023,4,170000
1441,Ranch,Aluminum/Vinyl,698,4720,2,1,2022,12,190000
1442,Ranch,Aluminum/Vinyl,698,4720,2,1,2021,5,159900
1443,Ranch,Aluminum / Vinyl,698,4720,2,1,2017,8,113000
1444,Ranch,Aluminum / Vinyl,698,4720,2,1,2018,11,117000
1446,Ranch,Aluminum/Vinyl,698,4687,2,1,2022,12,154400
1448,Ranch,Aluminum/Vinyl,698,4400,2,1,2022,4,125000
1449,Ranch,Aluminum/Vinyl,698,4375,2,2,2022,3,147500
1454,Ranch,Aluminum / Vinyl,699,6345,2,1,2013,8,83000
1455,Ranch,Aluminum / Vinyl,699,6345,2,1,2016,5,90000
1456,Ranch,Aluminum/Vinyl,699,4601,2,1,2020,8,154000
1460,Ranch,Aluminum/Vinyl,699,4601,2,1,2020,3,151000
1462,Ranch,Aluminum / Vinyl,699,4601,2,1,2018,3,130000
1466,Cape Cod,Aluminum / Vinyl,700,3600,2,1,2016,12,136900
1471,Ranch,Aluminum / Vinyl,701,7080,2,1,2017,4,107500
1475,Res O/S 1 Story,Aluminum/Vinyl,702,5400,2,2,2022,8,185000
1476,Ranch,Aluminum/Vinyl,702,5120,2,1,2021,8,87000
1478,Ranch,Aluminum / Vinyl,702,5000,2,1,2018,6,120000
1483,Ranch,Aluminum/Vinyl,703,5760,2,1,2020,11,88000
1484,Ranch,Aluminum/Vinyl,703,5040,2,1,2021,5,125000
1485,Ranch,Aluminum / Vinyl,703,5040,2,1,2017,5,110000
1487,Ranch,Aluminum / Vinyl,704,7920,2,2,2014,9,109000
1496,Ranch,Aluminum/Vinyl,704,6160,2,1,2020,3,143000
1497,Ranch,Aluminum / Vinyl,704,6160,2,1,2017,12,105000
1498,Ranch,Aluminum/Vinyl,704,5880,2,1,2020,8,157000
1499,Ranch,Aluminum/Vinyl,704,5582,2,1,2022,9,90000
1500,Ranch,Aluminum/Vinyl,704,5360,2,1,2021,8,181100
1501,Res O/S 1 Story,Aluminum/Vinyl,704,5280,2,1,2022,6,160000
1502,Residence O/S,Aluminum / Vinyl,704,5280,2,1,2018,10,90000
1503,Ranch,Aluminum/Vinyl,704,5207,2,1,2020,12,120000
1508,Ranch,Aluminum / Vinyl,704,5016,2,2,2015,9,116250
1509,Ranch,Aluminum / Vinyl,704,4900,2,1,2015,12,112900
1510,Ranch,Aluminum / Vinyl,704,4900,2,1,2017,11,114500
1512,Ranch,Aluminum/Vinyl,704,4800,2,1,2020,12,80000
1516,Ranch,Aluminum / Vinyl,704,4800,2,1,2014,9,97000
1522,Ranch,Aluminum / Vinyl,704,4797,2,1,2017,8,126000
1526,Res O/S A & 1/2,Stucco,704,4284,2,2,2023,11,120000
1531,Ranch,Aluminum/Vinyl,704,4200,2,1,2023,12,220000
1540,Ranch,Aluminum/Vinyl,704,3750,2,1,2023,11,170000
1541,Ranch,Aluminum/Vinyl,704,3750,2,1,2022,12,130000
1542,Ranch,Aluminum/Vinyl,704,3720,2,1,2021,10,145000
1547,Ranch,Aluminum / Vinyl,704,3690,2,1,2013,10,97000
1548,Ranch,Aluminum / Vinyl,704,3690,2,1,2017,7,129000
1549,Ranch,Aluminum/Vinyl,704,3600,2,2,2022,5,215000
1554,Ranch,Aluminum / Vinyl,704,3600,2,1,2014,3,96000
1555,Ranch,Aluminum / Vinyl,704,3600,2,1,2015,7,100000
1556,Ranch,Aluminum / Vinyl,704,3472,2,1,2016,5,120000
1561,Ranch,Aluminum/Vinyl,705,6400,2,2,2023,5,126000
1562,Ranch,Aluminum/Vinyl,705,5553,2,1,2020,6,125000
1564,Ranch,Aluminum/Vinyl,706,6384,2,1,2020,8,109000
1565,Ranch,Aluminum / Vinyl,706,6336,2,1,2017,8,92000
1571,Ranch,Wood,706,5875,2,1,2020,9,110000
1572,Ranch,Aluminum/Vinyl,706,5828,2,1,2022,11,150000
1576,Ranch,Aluminum / Vinyl,706,5828,2,1,2017,9,85000
1578,Ranch,Aluminum / Vinyl,706,5808,2,1,2015,5,81900
1584,Ranch,Aluminum / Vinyl,706,5720,2,1,2018,6,99000
1592,Ranch,Aluminum/Vinyl,707,6834,2,1,2021,5,85000
1593,Ranch,Aluminum/Vinyl,707,5332,2,1,2020,12,143000
1594,Ranch,Aluminum / Vinyl,707,5332,2,1,2014,7,87000
1595,Ranch,Aluminum / Vinyl,707,5313,2,1,2015,10,90000
1596,Ranch,Aluminum/Vinyl,707,5289,2,1,2021,6,210000
1597,Ranch,Aluminum / Vinyl,707,4988,2,1,2017,1,82000
1598,Ranch,Aluminum/Vinyl,707,4920,2,1,2021,7,165000
1599,Ranch,Aluminum/Vinyl,707,4920,2,1,2020,3,157500
1600,Ranch,Aluminum / Vinyl,707,4920,2,2,2017,6,135500
1601,Ranch,Aluminum/Vinyl,707,4875,2,1,2022,10,147700
1603,Ranch,Aluminum / Vinyl,707,4800,2,1,2013,4,86500
1604,Ranch,Aluminum / Vinyl,707,4800,2,1,2014,6,98000
1605,Ranch,Aluminum / Vinyl,707,4800,2,1,2017,5,122830
1606,Ranch,Aluminum/Vinyl,707,4680,2,2,2022,10,190000
1610,Rm or Rooming House,Aluminum / Vinyl,707,0,2,1,2018,11,110000
1611,Ranch,Aluminum/Vinyl,708,5289,2,2,2020,11,161700
1612,Ranch,Aluminum/Vinyl,709,6500,2,1,2020,4,127000
1615,Ranch,Aluminum/Vinyl,709,6000,4,1,2022,3,160000
1618,Ranch,Aluminum/Vinyl,709,4260,2,1,2020,1,138000
1619,Residence O/S,Frame,709,2100,2,1,2018,4,127000
1627,Ranch,Aluminum/Vinyl,710,4560,2,1,2020,10,135500
1630,Cottage,Aluminum/Vinyl,711,7500,2,1,2023,11,129800
1631,Cottage,Aluminum/Vinyl,711,7500,2,1,2021,8,110000
1632,Cottage,Aluminum/Vinyl,711,5670,2,2,2020,7,160000
1633,Ranch,Aluminum/Vinyl,711,4880,2,1,2022,9,171000
1634,Ranch,Aluminum/Vinyl,711,4880,2,1,2022,6,170000
1641,Cottage,Asphalt/Other,711,3600,2,1,2020,10,105000
1646,Ranch,Aluminum / Vinyl,712,6600,2,1,2016,4,86000
1648,Cape Cod,Aluminum/Vinyl,712,5600,2,1,2021,10,211000
1649,Ranch,Aluminum/Vinyl,712,5400,2,1,2020,8,134500
1651,Ranch,Brick,712,5240,2,1,2016,1,92000
1653,Cape Cod,Brick,712,4800,2,1,2018,10,130000
1654,Ranch,Frame,712,4715,2,2,2017,4,95000
1655,Res O/S A & 1/2,Asphalt/Other,712,3510,2,1,2023,10,175000
1658,Cottage,Aluminum/Vinyl,713,6600,2,1,2021,8,131000
1659,Cottage,Aluminum/Vinyl,713,6600,2,1,2021,5,95000
1664,Ranch,Aluminum/Vinyl,713,3870,2,1,2020,1,100000
1667,Ranch,Aluminum / Vinyl,713,3870,2,1,2017,3,94000
1672,Ranch,Aluminum / Vinyl,713,3720,2,1,2014,4,118800
1673,Ranch,Aluminum / Vinyl,713,3720,2,1,2015,8,125000
1674,Ranch,Aluminum/Vinyl,713,3600,2,1,2023,8,127000
1675,Cottage,Asphalt/Other,713,3600,2,1,2022,9,103200
1678,Ranch,Brick,714,5280,2,1,2022,4,220000
1679,Ranch,Brick,714,5280,2,1,2014,8,99900
1683,Ranch,Aluminum/Vinyl,715,6250,2,2,2020,8,171000
1684,Ranch,Aluminum / Vinyl,715,6250,2,2,2018,8,130000
1685,Ranch,Aluminum / Vinyl,715,5000,2,1,2014,8,84000
1690,Ranch,Wood,716,6350,2,1,2022,9,215000
1691,Ranch,Frame,716,5460,2,1,2016,11,85000
1694,Ranch,Aluminum/Vinyl,716,4896,2,1,2023,8,192000
1696,Ranch,Aluminum/Vinyl,716,4800,2,1,2023,8,134000
1698,Ranch,Aluminum/Vinyl,717,4920,2,1,2022,12,185000
1699,Ranch,Aluminum / Vinyl,717,4920,2,1,2018,7,129500
1700,Res O/S 1 Story,Brick,717,4800,2,1,2023,10,149500
1702,Ranch,Aluminum/Vinyl,718,6400,2,1,2023,2,83000
1706,Ranch,Aluminum / Vinyl,718,5120,2,1,2017,12,92100
1710,Cottage,Aluminum / Vinyl,718,2700,2,1,2018,6,98000
1714,Ranch,Aluminum/Vinyl,719,4800,2,1,2020,9,125000
1719,Ranch,Frame,719,4760,2,1,2018,10,82000
1725,Ranch,Aluminum/Vinyl,720,10152,2,1,2022,9,98000
1732,Ranch,Aluminum/Vinyl,720,9075,2,1,2021,8,125000
1735,Ranch,Aluminum/Vinyl,720,8480,2,2,2023,7,240000
1738,Ranch,Aluminum/Vinyl,720,8000,2,1,2021,2,156000
1740,Cape Cod,Block,720,7688,2,1,2021,4,175000
1744,Cape Cod,Block,720,7688,2,1,2013,9,95000
1745,Ranch,Aluminum/Vinyl,720,7600,2,2,2021,7,186000
1746,Ranch,Aluminum/Vinyl,720,7600,2,1,2021,7,165000
1747,Ranch,Aluminum / Vinyl,720,7600,2,1,2018,9,135000
1749,Ranch,Block,720,7500,2,1,2022,10,95000
1754,Ranch,Aluminum/Vinyl,720,7134,2,1,2020,12,142000
1755,Ranch,Aluminum / Vinyl,720,7134,2,1,2017,6,116800
1757,Ranch,Aluminum / Vinyl,720,7015,2,2,2017,7,110500
1763,Ranch,Aluminum/Vinyl,720,6837,2,1,2020,7,145500
1764,Ranch,Aluminum / Vinyl,720,6837,2,1,2017,11,114000
1765,Ranch,Asphalt/Other,720,6750,2,1,2022,9,210000
1766,Ranch,Aluminum/Vinyl,720,6708,2,1,2020,2,121500
1767,Ranch,Aluminum/Vinyl,720,6600,3,1,2021,7,127000
1770,Ranch,Aluminum/Vinyl,720,6500,2,1,2022,7,124900
1771,Ranch,Aluminum/Vinyl,720,6384,2,1,2021,11,104000
1776,Ranch,Aluminum/Vinyl,720,6240,2,1,2022,1,137450
1777,Ranch,Aluminum/Vinyl,720,6240,2,1,2020,11,99900
1785,Ranch,Aluminum/Vinyl,720,6150,2,1,2023,7,175000
1789,Ranch,Aluminum/Vinyl,720,5940,2,1,2023,5,85000
1802,Ranch,Aluminum / Vinyl,720,5760,2,2,2018,12,89000
1804,Ranch,Aluminum / Vinyl,720,5457,2,1,2017,9,117500
1811,Residence O/S,Aluminum / Vinyl,720,5400,2,1,2018,11,82000
1812,Ranch,Aluminum/Vinyl,720,5350,2,1,2021,1,130000
1813,Cottage,Aluminum/Vinyl,720,5280,2,1,2021,5,115000
1815,Ranch,Aluminum/Vinyl,720,5160,2,2,2020,6,165000
1818,Cottage,Aluminum/Vinyl,720,5000,2,1,2021,6,175000
1828,Cottage,Aluminum / Vinyl,720,5000,2,1,2015,8,118500
1832,Ranch,Brick,720,4920,2,1,2021,5,85000
1834,Cottage,Stucco,720,4888,2,1,2023,5,99000
1844,Ranch,Aluminum/Vinyl,720,4816,2,1,2022,11,138000
1845,Ranch,Wood,720,4800,2,1,2023,8,100000
1857,Ranch,Aluminum/Vinyl,720,0,4,1,2022,4,170000
1859,Rm or Rooming House,Frame,720,0,2,1,2015,7,100000
1861,Ranch,Aluminum/Vinyl,722,7980,2,1,2022,6,150000
1862,Ranch,Aluminum/Vinyl,722,5580,2,1,2023,9,100000
1870,Cape Cod,Aluminum/Vinyl,722,4116,2,1,2023,3,185000
