Style,Bdrms,Baths_total,FinishedSqft,Sale_date,Year,Month,Sale_price
Ranch,3,2,1884,2023-01-23,2023,1,349000
Ranch,3,2,2104,2022-09-13,2022,9,200000
Colonial,4,2,2200,2021-11-23,2021,11,336000
Ranch,3,2,1585,2023-11-21,2023,11,233000
Res O/S 1 Story,2,2,1125,2021-10-08,2021,10,250000
Cape Cod,4,1,1471,2022-08-12,2022,8,274900
Ranch,2,2,1269,2022-11-07,2022,11,302000
Colonial,4,3,2303,2019-07-18,2019,7,237500
Ranch,3,2,1334,2022-08-09,2022,8,280000
Cape Cod,4,2,1247,2023-06-01,2023,6,150000
Colonial,3,3,2428,2019-04-16,2019,4,255000
Milwaukee Bungalow,3,1,1328,2023-10-03,2023,10,209900
Colonial,3,2,2373,2016-02-01,2016,2,275000
Ranch,3,2,1639,2020-11-30,2020,11,264000
Cape Cod,3,1,1103,2020-10-28,2020,10,184000
Cape Cod,3,1,1188,2018-03-01,2018,3,143500
Cape Cod,4,3,2451,2021-07-09,2021,7,285000
Cape Cod,3,2,2694,2021-07-05,2021,7,415000
Cape Cod,2,1,1049,2022-06-09,2022,6,207000
Ranch,3,2,1486,2022-09-19,2022,9,215000
Res O/S A & 1/2,3,2,1068,2021-07-02,2021,7,185000
Ranch,3,2,1505,2021-10-01,2021,10,240000
Ranch,3,2,1505,2018-07-01,2018,7,190000
Ranch,4,2,1928,2022-01-11,2022,1,205000
Ranch,4,3,2132,2022-09-26,2022,9,381500
Cape Cod,4,3,2070,2019-10-24,2019,10,233000
Ranch,3,2,1800,2023-08-29,2023,8,345000
Ranch,3,2,1743,2019-09-25,2019,9,227000
Ranch,3,2,1985,2021-09-30,2021,9,335000
Cape Cod,4,1,1068,2022-05-13,2022,5,175000
Ranch,3,3,2099,2023-08-21,2023,8,410000
Colonial,4,4,2562,2016-07-01,2016,7,295500
Cape Cod,3,2,1872,2023-08-23,2023,8,315000
Cape Cod,5,4,2992,2019-10-03,2019,10,300000
Colonial,4,3,1846,2022-02-25,2022,2,140000
Colonial,4,3,1846,2022-11-23,2022,11,300000
Colonial,4,4,2916,2021-05-26,2021,5,420000
Colonial,3,3,2143,2022-10-10,2022,10,320000
Colonial,3,3,2143,2020-09-18,2020,9,270000
Milwaukee Bungalow,2,2,1577,2020-11-05,2020,11,172500
Ranch,3,2,1751,2022-10-20,2022,10,216000
Cape Cod,4,2,1826,2021-06-18,2021,6,298500
Duplex O/S,3,2,2138,2021-06-11,2021,6,230000
Colonial,3,3,2558,2021-09-10,2021,9,375000
Colonial,4,3,2516,2023-08-29,2023,8,430000
Colonial,3,3,2541,2020-10-23,2020,10,268000
Colonial,3,3,2541,2018-06-01,2018,6,215000
Colonial,3,3,2141,2021-03-04,2021,3,365000
Split Level,4,2,1951,2021-12-16,2021,12,315000
Ranch,3,2,1942,2018-08-01,2018,8,245000
Milwaukee Bungalow,4,1,1296,2021-04-13,2021,4,220000
Colonial,4,2,2098,2021-06-04,2021,6,305000
Ranch,3,3,1988,2021-12-15,2021,12,271000
Res O/S A & 1/2,3,1,1347,2021-01-13,2021,1,163000
Colonial,4,2,2108,2020-07-17,2020,7,245000
Ranch,3,2,1829,2020-10-30,2020,10,180000
Colonial,4,3,2114,2019-10-04,2019,10,243000
Ranch,3,2,1461,2014-05-01,2014,5,144500
Colonial,4,3,2261,2020-04-10,2020,4,209000
Cape Cod,3,2,1725,2022-07-13,2022,7,273000
Ranch,3,2,1543,2020-08-24,2020,8,282000
Residence O/S,3,2,1622,2013-02-01,2013,2,126000
Cape Cod,4,2,1182,2023-12-15,2023,12,160000
Ranch,3,2,1927,2018-09-01,2018,9,230000
Colonial,4,4,2237,2021-04-08,2021,4,341000
Ranch,3,2,1241,2021-09-10,2021,9,265000
Ranch,3,2,1166,2019-10-04,2019,10,171500
Ranch,3,2,1946,2023-12-07,2023,12,285900
Ranch,3,2,1671,2019-01-07,2019,1,183500
Ranch,2,1,768,2018-05-01,2018,5,44500
Milwaukee Bungalow,4,1,1429,2018-01-01,2018,1,134000
Residence O/S 2sty+,4,2,2400,2021-05-10,2021,5,341000
Residence O/S,4,2,2400,2019-05-03,2019,5,177000
Ranch,3,1,1536,2014-12-01,2014,12,123400
Ranch,3,2,1621,2018-07-01,2018,7,228000
Colonial,4,2,2069,2023-05-31,2023,5,375000
Ranch,3,2,1756,2020-02-14,2020,2,190000
Ranch,2,1,1563,2015-07-01,2015,7,163900
Colonial,4,3,2551,2022-04-25,2022,4,400000
Cape Cod,4,3,1516,2016-05-01,2016,5,175000
Colonial,4,3,2868,2019-08-30,2019,8,375000
Ranch,3,3,1095,2022-07-15,2022,7,220000
Ranch,3,2,1550,2021-08-10,2021,8,260000
Milwaukee Bungalow,2,1,929,2021-06-28,2021,6,135000
Cape Cod,3,2,1176,2020-04-03,2020,4,176000
Ranch,3,2,1550,2020-01-24,2020,1,195000
Cape Cod,3,2,1176,2018-07-01,2018,7,160000
Ranch,3,2,2174,2013-11-01,2013,11,260000
Ranch,3,1,1412,2023-12-29,2023,12,205000
Ranch,2,1,1229,2023-12-22,2023,12,253750
Ranch,3,3,1304,2021-10-04,2021,10,280000
Ranch,3,3,1595,2020-01-27,2020,1,280000
Cape Cod,3,4,2059,2014-05-01,2014,5,260000
Ranch,3,2,1875,2022-05-31,2022,5,262500
Res O/S A & 1/2,3,2,2171,2023-06-05,2023,6,279000
Colonial,4,3,2610,2015-04-01,2015,4,284900
Cape Cod,4,3,2659,2017-10-01,2017,10,218000
Cape Cod,3,2,1373,2021-09-30,2021,9,305000
Ranch,3,1,1001,2020-02-27,2020,2,158000
Ranch,3,3,1405,2020-05-27,2020,5,189000
Ranch,3,2,1405,2019-08-05,2019,8,182000
Ranch,3,2,1885,2018-07-01,2018,7,225000
Cape Cod,2,2,1521,2020-06-12,2020,6,190000
Colonial,3,2,1983,2023-05-12,2023,5,310000
Colonial,3,2,1983,2021-02-12,2021,2,278000
Ranch,3,2,1695,2016-02-01,2016,2,153000
Milwaukee Bungalow,4,3,2042,2023-05-04,2023,5,267000
Ranch,4,1,1266,2023-07-14,2023,7,182000
Colonial,4,4,2220,2018-07-01,2018,7,237000
Ranch,4,3,2811,2018-08-01,2018,8,240000
Cape Cod,4,3,1931,2016-06-01,2016,6,232500
Ranch,3,3,1708,2022-08-23,2022,8,324900
Ranch,3,1,1200,2021-06-08,2021,6,250000
Ranch,2,1,1298,2015-06-01,2015,6,60000
Ranch,2,1,1298,2015-10-01,2015,10,152000
Ranch,3,2,2297,2020-12-22,2020,12,252000
Ranch,3,3,1899,2018-01-01,2018,1,230000
Colonial,4,2,2033,2021-09-16,2021,9,321000
Ranch,3,2,2544,2019-10-16,2019,10,325000
Colonial,4,2,1668,2016-04-01,2016,4,146000
Colonial,3,3,2421,2014-11-01,2014,11,255000
Colonial,3,4,2380,2020-04-03,2020,4,288000
Ranch,3,1,1116,2020-11-18,2020,11,222000
Ranch,3,4,2669,2015-05-01,2015,5,355000
Ranch,3,2,1879,2019-04-30,2019,4,279000
Ranch,3,1,1365,2016-11-01,2016,11,133000
Tudor,3,3,1866,2022-08-18,2022,8,290000
Ranch,3,2,2298,2014-06-01,2014,6,191500
Cape Cod,4,3,1545,2018-02-01,2018,2,219000
Ranch,3,3,1461,2021-04-19,2021,4,235000
Split Level,3,2,1662,2022-07-14,2022,7,280000
Split Level,3,2,1662,2017-09-01,2017,9,181000
Ranch,3,2,1353,2017-01-01,2017,1,137000
Duplex N/S,4,5,2329,2021-01-15,2021,1,220000
Ranch,3,2,1587,2016-07-01,2016,7,175000
Cape Cod,4,2,1679,2020-05-29,2020,5,216000
Ranch,3,2,1072,2020-04-17,2020,4,146500
Cape Cod,3,2,908,2023-06-06,2023,6,208000
Ranch,3,1,1083,2016-11-01,2016,11,122000
Ranch,3,2,1250,2023-04-28,2023,4,340000
Ranch,3,2,1186,2014-05-01,2014,5,155300
Cape Cod,4,2,1946,2022-09-22,2022,9,290000
Cape Cod,4,2,1946,2013-09-01,2013,9,140000
Ranch,3,1,1017,2023-06-07,2023,6,240000
Ranch,3,2,1001,2022-06-09,2022,6,195000
Ranch,3,1,1017,2021-08-25,2021,8,200000
Colonial,3,3,2206,2018-07-01,2018,7,265000
Ranch,3,3,1802,2017-10-01,2017,10,269900
Cape Cod,3,1,1397,2021-01-29,2021,1,114000
Cape Cod,3,1,989,2022-09-15,2022,9,190000
Ranch,4,2,1587,2023-03-09,2023,3,300000
Bi-Level,3,2,1936,2017-08-01,2017,8,228000
Ranch,3,1,1433,2018-02-01,2018,2,171000
Cape Cod,3,1,1108,2018-06-01,2018,6,117000
Cape Cod,3,1,1409,2018-02-01,2018,2,123000
Ranch,2,2,1412,2021-04-07,2021,4,235000
Ranch,2,2,1412,2017-08-01,2017,8,194000
Colonial,3,2,1772,2015-12-01,2015,12,199900
Milwaukee Bungalow,3,2,1319,2023-10-06,2023,10,285000
Colonial,3,2,1634,2013-08-01,2013,8,151500
Duplex N/S,4,3,2304,2013-08-01,2013,8,168000
Milwaukee Bungalow,2,1,929,2013-08-01,2013,8,89000
Tudor,3,3,1866,2013-08-01,2013,8,191200
Cape Cod,2,1,1060,2014-02-01,2014,2,65000
Ranch,3,2,1728,2014-03-01,2014,3,186000
Ranch,4,3,2132,2014-05-01,2014,5,204500
Cape Cod,2,1,776,2014-05-01,2014,5,89900
Colonial,4,5,2751,2014-07-01,2014,7,219000
Duplex O/S,3,2,2025,2014-07-01,2014,7,51000
Cape Cod,3,2,1750,2014-07-01,2014,7,169800
Tudor,3,3,1784,2014-11-01,2014,11,135000
Ranch,3,2,2326,2014-11-01,2014,11,165000
Ranch,3,1,1200,2015-02-01,2015,2,151000
Ranch,2,1,822,2015-04-01,2015,4,115000
Duplex N/S,4,2,2894,2015-05-01,2015,5,140000
Ranch,3,1,980,2015-05-01,2015,5,87500
Residence O/S,3,1,1347,2015-06-01,2015,6,117000
Cape Cod,3,1,1527,2015-06-01,2015,6,179000
Residence O/S,5,1,2555,2015-07-01,2015,7,50000
Ranch,3,2,1924,2015-08-01,2015,8,175000
Ranch,3,3,1722,2015-09-01,2015,9,188500
Cape Cod,3,3,1933,2015-10-01,2015,10,202000
Ranch,3,2,2084,2015-10-01,2015,10,255650
Ranch,4,2,2389,2015-10-01,2015,10,273000
Colonial,3,2,2612,2015-11-01,2015,11,218900
Ranch,3,2,1461,2015-11-01,2015,11,75000
Colonial,4,3,2237,2015-12-01,2015,12,254000
Colonial,3,3,2039,2015-12-01,2015,12,241000
Colonial,3,2,1634,2015-12-01,2015,12,163000
Ranch,3,2,1497,2015-12-01,2015,12,112000
Ranch,3,2,2688,2016-01-01,2016,1,313000
Cape Cod,3,2,1419,2016-02-01,2016,2,159900
Ranch,3,2,1461,2016-03-01,2016,3,148000
Ranch,4,3,1341,2016-04-01,2016,4,167500
Colonial,3,3,2443,2016-05-01,2016,5,255000
Colonial,4,2,2434,2016-06-01,2016,6,280000
Cape Cod,3,1,954,2016-06-01,2016,6,75000
Ranch,3,1,1375,2016-07-01,2016,7,155000
Ranch,2,2,1784,2016-07-01,2016,7,135000
Cape Cod,4,2,1489,2016-08-01,2016,8,120000
Ranch,3,2,1072,2016-09-01,2016,9,93450
Cape Cod,2,1,1055,2016-09-01,2016,9,120000
Ranch,3,2,1907,2016-09-01,2016,9,199000
Cape Cod,4,2,2475,2016-11-01,2016,11,230000
Cape Cod,4,3,2173,2016-12-01,2016,12,185000
Ranch,3,3,1695,2017-01-01,2017,1,205000
Ranch,3,1,1123,2017-03-01,2017,3,133000
Cape Cod,2,1,776,2017-04-01,2017,4,99900
Cape Cod,4,2,2453,2017-05-01,2017,5,179550
Ranch,2,1,797,2017-06-01,2017,6,111750
Ranch,4,2,2103,2017-08-01,2017,8,295000
Ranch,3,2,1639,2017-08-01,2017,8,195000
Cape Cod,4,3,1974,2017-08-01,2017,8,234500
Tudor,3,3,1866,2017-09-01,2017,9,198500
Colonial,3,3,2290,2017-10-01,2017,10,232000
Ranch,3,1,1361,2017-10-01,2017,10,151900
Ranch,3,2,1368,2017-10-01,2017,10,120000
Cape Cod,2,1,1270,2017-11-01,2017,11,100000
Cape Cod,4,1,1040,2017-11-01,2017,11,96000
Cape Cod,3,1,1142,2017-12-01,2017,12,179400
Ranch,2,2,1391,2017-12-01,2017,12,165000
Ranch,3,3,1860,2018-04-01,2018,4,262400
Cape Cod,3,1,985,2018-07-01,2018,7,91000
Colonial,4,2,2010,2019-10-18,2019,10,248000
Colonial,4,2,2010,2018-07-01,2018,7,207000
Ranch,3,2,1184,2018-09-01,2018,9,163000
Cape Cod,3,3,2676,2018-05-01,2018,5,287000
Ranch,3,1,1111,2014-11-01,2014,11,141000
Cape Cod,4,2,1395,2019-11-14,2019,11,142500
Cape Cod,3,2,1232,2021-02-02,2021,2,141700
Cape Cod,3,2,1232,2019-02-22,2019,2,75000
Ranch,3,2,1204,2019-06-14,2019,6,190000
Ranch,3,2,1204,2014-08-01,2014,8,140000
Ranch,5,1,1470,2016-08-01,2016,8,190000
Res O/S 2sty +,3,2,2130,2023-11-29,2023,11,316000
Ranch,3,2,1051,2018-06-01,2018,6,207000
Res O/S A & 1/2,4,2,1309,2021-11-16,2021,11,275000
Ranch,3,1,1001,2017-10-01,2017,10,169000
Ranch,3,2,1334,2021-11-09,2021,11,255000
Cape Cod,3,2,1284,2022-01-14,2022,1,149000
Colonial,3,2,2009,2017-08-01,2017,8,249900
Colonial,4,3,2011,2020-07-17,2020,7,242400
Colonial,3,4,2294,2015-10-01,2015,10,292900
Colonial,4,2,1594,2015-03-01,2015,3,110000
Ranch,3,1,1001,2018-02-01,2018,2,141000
Cape Cod,4,2,2828,2022-07-22,2022,7,300000
Cape Cod,4,2,2828,2015-03-01,2015,3,157000
Cape Cod,4,1,1334,2020-08-28,2020,8,127500
Ranch,3,3,1627,2021-02-18,2021,2,230000
Cape Cod,4,2,1617,2013-01-01,2013,1,149900
Tudor,3,1,2469,2016-08-01,2016,8,340000
Cape Cod,3,1,1125,2017-08-01,2017,8,138500
Cape Cod,4,2,1617,2018-04-01,2018,4,192000
Ranch,3,1,1232,2018-07-01,2018,7,167200
Ranch,3,2,1636,2021-08-31,2021,8,239000
Ranch,3,2,1806,2014-11-01,2014,11,137000
Cape Cod,3,3,2188,2018-04-01,2018,4,290000
Colonial,3,3,2069,2013-04-01,2013,4,167900
Colonial,3,3,2069,2017-04-01,2017,4,187000
Ranch,3,1,1010,2013-09-01,2013,9,124999
Ranch,3,2,1226,2021-04-30,2021,4,225000
Duplex O/S,3,2,1716,2018-06-01,2018,6,179900
Ranch,3,2,1607,2020-09-01,2020,9,201167
Ranch,3,2,1493,2022-11-17,2022,11,237000
Cape Cod,2,2,1287,2020-09-08,2020,9,245000
Ranch,3,2,1078,2021-07-23,2021,7,231000
Res O/S 2sty +,3,2,1824,2022-06-08,2022,6,300000
Duplex-Cottage,3,2,1824,2021-11-29,2021,11,140000
Ranch,3,2,1456,2020-07-30,2020,7,180000
Ranch,3,2,1130,2016-07-01,2016,7,154000
Colonial,4,2,1999,2018-02-01,2018,2,188500
Res O/S A & 1/2,2,2,1178,2023-05-09,2023,5,233000
Colonial,4,3,1876,2022-05-24,2022,5,234900
Residence O/S,2,1,988,2015-02-01,2015,2,80000
Residence O/S,2,1,1178,2018-05-01,2018,5,98000
Ranch,2,1,1438,2023-11-01,2023,11,313000
Ranch,2,1,1243,2017-09-01,2017,9,167900
Ranch,3,2,1167,2016-11-01,2016,11,148000
Ranch,3,2,1174,2021-07-30,2021,7,220500
Ranch,3,2,1675,2017-06-01,2017,6,232000
Ranch,3,2,1561,2019-06-14,2019,6,235000
Split Level,4,2,2216,2014-07-01,2014,7,225000
Ranch,3,2,1298,2014-09-01,2014,9,152000
Ranch,3,2,1561,2015-10-01,2015,10,169900
Cape Cod,3,2,1040,2020-10-08,2020,10,152000
Ranch,4,1,1354,2021-02-17,2021,2,185500
Ranch,3,2,936,2023-08-31,2023,8,266000
Ranch,3,2,1039,2022-07-21,2022,7,240000
Colonial,3,3,1970,2022-11-28,2022,11,267500
Cape Cod,4,2,1184,2021-09-13,2021,9,215000
Ranch,3,2,1763,2013-10-01,2013,10,175000
Ranch,3,1,1001,2014-12-01,2014,12,117000
Cape Cod,3,2,1501,2015-06-01,2015,6,87000
Colonial,4,4,2248,2015-07-01,2015,7,195000
Colonial,4,3,2375,2016-08-01,2016,8,238000
Ranch,3,2,1712,2016-11-01,2016,11,150000
Ranch,3,2,1665,2017-02-01,2017,2,147500
Cape Cod,4,3,2793,2017-03-01,2017,3,251000
Cape Cod,4,2,1184,2018-04-01,2018,4,159900
Colonial,4,3,2289,2018-10-01,2018,10,253500
Ranch,4,3,2219,2020-10-05,2020,10,350000
Ranch,4,3,2219,2015-06-01,2015,6,229000
Ranch,3,2,1452,2020-09-14,2020,9,242500
Ranch,3,1,963,2023-02-07,2023,2,151000
Milwaukee Bungalow,2,2,1243,2021-11-09,2021,11,175000
Dplx Bungalow,4,2,1828,2014-12-01,2014,12,192000
Split Level,3,2,1894,2022-12-01,2022,12,340000
Split Level,3,2,1894,2015-06-01,2015,6,190000
Ranch,4,2,1017,2021-06-16,2021,6,215000
Ranch,4,2,1017,2018-08-01,2018,8,170000
Colonial,4,3,1828,2023-02-13,2023,2,275000
Colonial,4,3,2238,2013-02-01,2013,2,260000
Ranch,3,1,1144,2022-11-22,2022,11,135000
Milwaukee Bungalow,4,3,1665,2021-06-17,2021,6,325000
Milwaukee Bungalow,3,2,1293,2014-12-01,2014,12,164000
Milwaukee Bungalow,4,2,1731,2023-04-26,2023,4,342900
Residence O/S,3,2,1625,2019-08-21,2019,8,235000
Ranch,3,2,1856,2013-05-01,2013,5,218000
Residence O/S,2,1,740,2015-10-01,2015,10,102500
Residence O/S,2,1,740,2016-07-01,2016,7,120900
Milwaukee Bungalow,4,2,1359,2016-11-01,2016,11,219300
Ranch,3,1,1517,2017-12-01,2017,12,140000
Colonial,5,2,2106,2014-09-01,2014,9,181000
Cottage,4,1,1195,2020-08-14,2020,8,64500
Milwaukee Bungalow,3,1,1287,2020-08-21,2020,8,76900
Residence O/S,4,2,1617,2018-10-01,2018,10,145000
Colonial,3,2,2146,2015-02-01,2015,2,257500
Ranch,3,1,912,2015-06-01,2015,6,121000
Residence O/S,3,1,793,2018-11-01,2018,11,114000
Ranch,2,2,1378,2023-01-25,2023,1,247000
Ranch,4,2,2123,2022-11-21,2022,11,240000
Colonial,3,2,1410,2013-03-01,2013,3,149000
Ranch,3,2,1155,2014-05-01,2014,5,152000
Colonial,4,2,1658,2015-03-01,2015,3,179000
Ranch,3,2,1155,2022-11-01,2022,11,300000
Ranch,3,2,1155,2016-07-01,2016,7,165000
Ranch,2,1,840,2021-09-30,2021,9,180000
Split Level,4,3,2075,2017-09-01,2017,9,222000
Ranch,2,1,1000,2013-09-01,2013,9,99900
Dplx Bungalow,5,2,2589,2016-04-01,2016,4,51000
Ranch,3,3,2752,2018-12-01,2018,12,350000
Dplx Bungalow,2,2,1672,2022-11-16,2022,11,160000
Ranch,3,3,1150,2021-07-16,2021,7,255000
Res O/S 1 Story,3,1,1203,2021-09-30,2021,9,215000
Ranch,3,3,1280,2014-06-01,2014,6,215000
Ranch,3,2,1461,2018-05-01,2018,5,225500
Colonial,4,3,2028,2021-07-23,2021,7,325000
Duplex O/S,4,2,1911,2016-06-01,2016,6,88000
Cape Cod,4,3,1147,2018-08-01,2018,8,175000
Ranch,2,2,1041,2018-08-01,2018,8,114000
Tudor,3,3,2668,2015-10-01,2015,10,365000
Ranch,3,2,1062,2021-02-08,2021,2,155000
Cape Cod,4,2,1284,2021-09-08,2021,9,255000
Ranch,3,2,1140,2020-11-30,2020,11,236000
Ranch,3,2,1140,2016-05-01,2016,5,160000
Ranch,3,3,1749,2022-09-16,2022,9,327000
Cape Cod,3,2,1209,2014-09-01,2014,9,185000
Split Level,4,2,1626,2021-08-26,2021,8,405000
Ranch,3,2,1324,2015-02-01,2015,2,155000
Cottage,2,1,1077,2023-07-17,2023,7,225000
Cape Cod,3,2,1476,2014-08-01,2014,8,133900
Cape Cod,3,2,1698,2020-09-30,2020,9,175000
Ranch,3,1,1070,2014-10-01,2014,10,102000
Cape Cod,4,2,1210,2021-10-15,2021,10,177900
Ranch,3,2,2554,2019-10-16,2019,10,342500
Ranch,3,1,1047,2021-09-14,2021,9,160000
Ranch,3,1,999,2017-04-01,2017,4,123500
Milwaukee Bungalow,3,1,1334,2022-01-06,2022,1,195000
Cape Cod,3,2,1480,2014-03-01,2014,3,125000
Cape Cod,3,2,1480,2017-06-01,2017,6,150000
Ranch,3,2,1264,2022-08-03,2022,8,248000
Residence O/S,3,2,1352,2013-07-01,2013,7,210000
Ranch,5,2,1565,2014-12-01,2014,12,139000
Cape Cod,4,2,1109,2020-04-09,2020,4,155500
Cape Cod,4,2,1109,2016-12-01,2016,12,100000
Cape Cod,3,1,956,2013-08-01,2013,8,59000
Cottage,2,1,788,2021-04-28,2021,4,165000
Cottage,2,1,788,2020-07-01,2020,7,147400
Ranch,4,1,597,2022-04-29,2022,4,113000
Residence O/S,4,2,1959,2015-06-01,2015,6,237000
Colonial,3,3,2524,2015-06-01,2015,6,245000
Colonial,3,3,2524,2016-09-01,2016,9,254500
Colonial,4,3,2025,2020-07-22,2020,7,314000
Cape Cod,3,2,1373,2016-12-01,2016,12,201000
Cape Cod,3,2,1229,2018-11-01,2018,11,96900
Colonial,3,2,1494,2021-10-25,2021,10,189000
Ranch,3,2,936,2017-11-01,2017,11,151500
Ranch,3,3,1145,2021-11-30,2021,11,250000
Cape Cod,3,3,2290,2023-12-06,2023,12,400000
Cape Cod,3,3,1897,2018-01-01,2018,1,170000
Split Level,4,2,1485,2022-12-07,2022,12,169750
Colonial,4,2,1679,2022-06-16,2022,6,280000
Cape Cod,4,1,1321,2020-04-22,2020,4,120000
Colonial,4,2,2112,2019-06-24,2019,6,235012
Duplex N/S,4,2,1623,2015-10-01,2015,10,155000
Ranch,3,2,1855,2022-09-20,2022,9,420000
Colonial,3,3,2515,2014-01-01,2014,1,245000
Ranch,3,2,1371,2023-09-11,2023,9,325000
Residence O/S,2,1,827,2017-10-01,2017,10,155000
Ranch,4,3,2428,2018-03-01,2018,3,500000
Colonial,3,3,2628,2022-06-28,2022,6,460000
Ranch,3,2,1539,2020-09-04,2020,9,197000
Ranch,3,2,1301,2022-07-15,2022,7,310000
Ranch,3,2,1327,2016-11-01,2016,11,162900
Ranch,3,2,1301,2017-08-01,2017,8,206000
Ranch,3,2,1550,2014-06-01,2014,6,190000
Colonial,3,2,1721,2023-05-31,2023,5,178000
Milwaukee Bungalow,3,2,1392,2023-05-05,2023,5,80000
Milwaukee Bungalow,3,2,1392,2023-09-29,2023,9,199000
Duplex O/S,5,3,2598,2023-04-25,2023,4,220000
Duplex O/S,5,3,2598,2022-07-20,2022,7,135000
Ranch,3,1,1095,2018-06-01,2018,6,147000
Ranch,3,2,1182,2020-11-19,2020,11,225000
Cape Cod,2,1,1206,2018-07-01,2018,7,190000
Ranch,2,1,1257,2015-06-01,2015,6,145000
Res O/S A & 1/2,4,1,1686,2021-09-28,2021,9,100000
Ranch,3,2,1177,2015-10-01,2015,10,124900
Cape Cod,3,1,1094,2022-10-28,2022,10,222998
Colonial,3,3,2174,2015-05-01,2015,5,243000
Cape Cod,4,2,1554,2020-10-19,2020,10,184000
Cape Cod,3,2,1060,2020-08-27,2020,8,150000
Cape Cod,3,2,1982,2018-11-01,2018,11,216000
Duplex N/S,4,2,2080,2013-04-01,2013,4,168000
Ranch,2,2,1124,2015-11-01,2015,11,103500
Ranch,3,2,1124,2015-11-01,2015,11,103500
Cape Cod,2,1,1140,2020-04-08,2020,4,178000
Cape Cod,2,1,1140,2013-04-01,2013,4,104900
Tudor,2,3,2370,2013-10-01,2013,10,290000
Triplex,3,3,2000,2015-06-01,2015,6,140000
Ranch,3,3,2293,2023-09-28,2023,9,453000
Colonial,4,3,2480,2021-01-15,2021,1,353500
Cape Cod,3,3,1057,2022-04-21,2022,4,130000
Ranch,3,2,1630,2021-11-19,2021,11,213900
Ranch,2,2,1220,2015-07-01,2015,7,70425
Ranch,2,2,1220,2017-10-01,2017,10,145000
Colonial,4,3,2573,2023-07-10,2023,7,364900
Colonial,4,3,1965,2017-03-01,2017,3,197500
Cape Cod,3,2,1900,2020-07-15,2020,7,223000
Ranch,3,2,1499,2020-11-20,2020,11,262500
Ranch,3,2,1499,2014-04-01,2014,4,193000
Ranch,3,1,1068,2016-10-01,2016,10,119000
Ranch,3,1,1254,2013-08-01,2013,8,165500
Ranch,3,1,1208,2017-07-01,2017,7,163500
Res O/S A & 1/2,3,1,1054,2023-05-05,2023,5,133400
Milwaukee Bungalow,3,2,1368,2018-05-01,2018,5,110000
Ranch,3,1,1260,2014-12-01,2014,12,167500
Ranch,3,3,2001,2023-11-30,2023,11,411000
Colonial,3,3,2293,2020-10-30,2020,10,305000
Cape Cod,3,2,1958,2021-08-11,2021,8,385000
Cape Cod,2,1,1180,2013-12-01,2013,12,147000
Ranch,3,3,2423,2022-08-16,2022,8,470000
Ranch,3,3,2423,2017-01-01,2017,1,296000
Ranch,3,3,1048,2022-07-20,2022,7,276000
Residence O/S 2sty+,3,2,1928,2020-05-14,2020,5,113000
Residence O/S,3,2,1928,2013-10-01,2013,10,60000
Ranch,4,2,1740,2016-09-01,2016,9,217500
Ranch,3,2,1048,2016-10-01,2016,10,114750
Cape Cod,4,4,2703,2013-01-01,2013,1,347500
Cape Cod,4,4,2703,2015-07-01,2015,7,335000
Ranch,4,3,2050,2020-10-06,2020,10,320000
Ranch,4,3,2050,2015-08-01,2015,8,230000
Colonial,4,3,2740,2018-04-01,2018,4,400000
Cape Cod,3,4,2496,2023-08-03,2023,8,520000
Cape Cod,3,4,2496,2014-11-01,2014,11,367900
Colonial,3,3,2326,2021-07-14,2021,7,380000
Ranch,3,2,1320,2022-02-07,2022,2,190000
Ranch,3,2,1166,2014-07-01,2014,7,99000
Ranch,2,3,1847,2019-11-06,2019,11,365000
Ranch,3,2,974,2020-07-17,2020,7,176000
Ranch,3,2,1574,2015-10-01,2015,10,112000
Ranch,2,1,1062,2018-07-01,2018,7,126000
Colonial,4,3,2683,2017-06-01,2017,6,300000
Ranch,3,2,1434,2020-10-09,2020,10,340000
Ranch,3,1,980,2015-06-01,2015,6,119000
Ranch,3,2,1219,2018-04-01,2018,4,141900
Cottage,3,1,1386,2020-10-20,2020,10,82500
Cottage,3,1,1386,2017-06-01,2017,6,76900
Ranch,3,2,1294,2015-10-01,2015,10,154900
Colonial,4,4,2271,2018-05-01,2018,5,296000
Colonial,4,4,2615,2020-02-13,2020,2,357000
Colonial,4,4,2615,2020-10-15,2020,10,369900
Colonial,2,1,1433,2013-07-01,2013,7,147000
Colonial,3,2,1691,2014-06-01,2014,6,168500
Ranch,3,3,1636,2014-05-01,2014,5,150000
Ranch,3,2,1493,2021-05-14,2021,5,281500
Colonial,4,4,2478,2016-12-01,2016,12,259000
Ranch,2,3,2178,2015-10-01,2015,10,226000
Colonial,4,4,2770,2020-03-26,2020,3,285900
Colonial,4,4,2770,2016-10-01,2016,10,234000
Res O/S A & 1/2,3,1,1082,2022-09-02,2022,9,55000
Res O/S 2sty +,4,3,2145,2022-03-08,2022,3,360000
Residence O/S,4,3,2145,2015-03-01,2015,3,176400
Cottage,2,1,720,2023-09-20,2023,9,65000
Ranch,4,2,1541,2023-02-24,2023,2,325100
Multiple Residential Bldgs,4,2,1369,2022-12-07,2022,12,207000
Ranch,3,2,1285,2021-05-20,2021,5,270000
Ranch,2,2,1541,2021-02-12,2021,2,245000
Cottage,3,1,945,2021-06-16,2021,6,90000
