,Style,Bdrms,Baths_total,FinishedSqft,Sale_date,Year,Month,Sale_price
724,Ranch,3,2,1695,2016-02-01,2016,2,153000
727,Milwaukee Bungalow,4,3,2042,2023-05-04,2023,5,267000
731,Ranch,4,1,1266,2023-07-14,2023,7,182000
733,Colonial,4,4,2220,2018-07-01,2018,7,237000
734,Ranch,4,3,2811,2018-08-01,2018,8,240000
746,Cape Cod,4,3,1931,2016-06-01,2016,6,232500
752,Ranch,3,3,1708,2022-08-23,2022,8,324900
765,Ranch,3,1,1200,2021-06-08,2021,6,250000
795,Ranch,2,1,1298,2015-10-01,2015,10,152000
804,Ranch,3,2,2297,2020-12-22,2020,12,252000
806,Ranch,3,3,1899,2018-01-01,2018,1,230000
807,Colonial,4,2,2033,2021-09-16,2021,9,321000
808,Ranch,3,2,2544,2019-10-16,2019,10,325000
810,Colonial,4,2,1668,2016-04-01,2016,4,146000
816,Colonial,3,3,2421,2014-11-01,2014,11,255000
822,Colonial,3,4,2380,2020-04-03,2020,4,288000
823,Ranch,3,1,1116,2020-11-18,2020,11,222000
826,Ranch,3,4,2669,2015-05-01,2015,5,355000
834,Ranch,3,2,1879,2019-04-30,2019,4,279000
839,Ranch,3,1,1365,2016-11-01,2016,11,133000
840,Tudor,3,3,1866,2022-08-18,2022,8,290000
842,Ranch,3,2,2298,2014-06-01,2014,6,191500
846,Cape Cod,4,3,1545,2018-02-01,2018,2,219000
855,Ranch,3,3,1461,2021-04-19,2021,4,235000
856,Split Level,3,2,1662,2022-07-14,2022,7,280000
857,Split Level,3,2,1662,2017-09-01,2017,9,181000
858,Ranch,3,2,1353,2017-01-01,2017,1,137000
870,Duplex N/S,4,5,2329,2021-01-15,2021,1,220000
873,Ranch,3,2,1587,2016-07-01,2016,7,175000
876,Cape Cod,4,2,1679,2020-05-29,2020,5,216000
877,Ranch,3,2,1072,2020-04-17,2020,4,146500
879,Cape Cod,3,2,908,2023-06-06,2023,6,208000
882,Ranch,3,1,1083,2016-11-01,2016,11,122000
885,Ranch,3,2,1250,2023-04-28,2023,4,340000
889,Ranch,3,2,1186,2014-05-01,2014,5,155300
891,Cape Cod,4,2,1946,2022-09-22,2022,9,290000
892,Cape Cod,4,2,1946,2013-09-01,2013,9,140000
905,Ranch,3,1,1017,2023-06-07,2023,6,240000
906,Ranch,3,2,1001,2022-06-09,2022,6,195000
907,Ranch,3,1,1017,2021-08-25,2021,8,200000
913,Colonial,3,3,2206,2018-07-01,2018,7,265000
917,Ranch,3,3,1802,2017-10-01,2017,10,269900
920,Cape Cod,3,1,1397,2021-01-29,2021,1,114000
921,Cape Cod,3,1,989,2022-09-15,2022,9,190000
928,Ranch,4,2,1587,2023-03-09,2023,3,300000
929,Bi-Level,3,2,1936,2017-08-01,2017,8,228000
930,Ranch,3,1,1433,2018-02-01,2018,2,171000
931,Cape Cod,3,1,1108,2018-06-01,2018,6,117000
932,Cape Cod,3,1,1409,2018-02-01,2018,2,123000
933,Ranch,2,2,1412,2021-04-07,2021,4,235000
934,Ranch,2,2,1412,2017-08-01,2017,8,194000
935,Colonial,3,2,1772,2015-12-01,2015,12,199900
942,Milwaukee Bungalow,3,2,1319,2023-10-06,2023,10,285000
950,Colonial,3,2,1634,2013-08-01,2013,8,151500
