,Style,Bdrms,Baths_total,FinishedSqft,Sale_date,Year,Month,Sale_price
13369,Ranch,3,1,864,2021-05-07,2021,5,110000
13370,Ranch,2,1,1280,2020-03-06,2020,3,164900
13371,Cape Cod,3,2,1317,2020-04-16,2020,4,200000
13372,Ranch,2,1,1280,2014-09-01,2014,9,120000
13373,Cape Cod,2,3,1254,2016-07-01,2016,7,180000
13374,Cape Cod,4,2,1804,2016-10-01,2016,10,220350
13375,Ranch,3,1,981,2023-04-27,2023,4,110000
13377,Ranch,3,3,1247,2023-08-11,2023,8,248000
13378,Ranch,2,1,792,2023-02-03,2023,2,128400
13380,Colonial,3,2,1666,2021-11-29,2021,11,257000
13381,Ranch,3,1,954,2021-09-01,2021,9,225000
13382,Ranch,2,1,822,2020-03-24,2020,3,112500
13383,Cape Cod,4,2,1451,2020-08-17,2020,8,185000
13384,Cape Cod,4,2,1256,2013-06-01,2013,6,142500
13385,Split Level,5,2,1995,2014-05-01,2014,5,167500
13387,Cape Cod,3,3,1118,2016-06-01,2016,6,150000
13388,Duplex N/S,5,3,2630,2018-05-01,2018,5,224000
13389,Ranch,3,2,1274,2022-02-28,2022,2,159000
13390,Cape Cod,4,2,1571,2023-12-08,2023,12,360000
13391,Ranch,2,1,960,2022-05-09,2022,5,200000
13392,Cape Cod,4,2,1571,2015-06-01,2015,6,227900
13393,Ranch,2,1,979,2015-08-01,2015,8,154750
13394,Colonial,3,3,2263,2023-05-25,2023,5,497000
13396,Ranch,3,1,961,2022-11-15,2022,11,229000
13398,Duplex N/S,4,2,1755,2021-07-26,2021,7,235000
13399,Colonial,5,3,1811,2014-04-01,2014,4,172000
13400,Ranch,3,1,985,2014-04-01,2014,4,129900
13402,Res O/S 2sty +,3,2,1368,2023-04-03,2023,4,338000
13403,Triplex,5,3,2196,2022-12-09,2022,12,151000
13405,Ranch,3,1,1190,2023-01-20,2023,1,93000
13406,Colonial,4,2,2016,2023-08-31,2023,8,500000
13407,Res O/S A & 1/2,4,2,1902,2023-11-03,2023,11,199900
13408,Res O/S A & 1/2,2,1,855,2023-10-17,2023,10,105000
13409,Ranch,3,1,931,2023-05-21,2023,5,240000
13410,Tudor,3,2,1668,2022-04-05,2022,4,170000
13411,Residence O/S 2sty+,4,2,2226,2020-07-20,2020,7,325000
13412,Ranch,3,3,1120,2020-09-11,2020,9,189900
13413,Cape Cod,3,1,1293,2020-09-12,2020,9,192000
13414,Ranch,3,1,931,2020-09-28,2020,9,150000
13416,Ranch,3,2,1204,2019-10-31,2019,10,183275
13417,Colonial,4,4,2351,2014-06-01,2014,6,376000
13418,Cape Cod,3,1,1293,2015-09-01,2015,9,133500
13419,Residence O/S,4,2,1947,2016-04-01,2016,4,324000
13420,Ranch,3,1,1114,2017-02-01,2017,2,115000
13421,Cottage,3,1,1536,2017-03-01,2017,3,115500
13423,Duplex N/S,5,3,2867,2017-06-01,2017,6,192000
13424,Colonial,4,2,1984,2017-10-01,2017,10,298800
13425,Colonial,4,4,2351,2017-11-01,2017,11,390000
13426,Tudor,3,2,1668,2017-11-01,2017,11,99900
13427,Cape Cod,3,1,1242,2018-05-01,2018,5,152000
13429,Split Level,4,2,1846,2022-09-29,2022,9,200000
13430,Cape Cod,3,1,1240,2022-05-03,2022,5,193000
13431,Ranch,3,1,1013,2014-02-01,2014,2,102000
13432,Ranch,2,1,846,2018-05-01,2018,5,113000
13433,Ranch,3,1,1013,2018-08-01,2018,8,125000
13434,Colonial,3,4,2392,2023-09-27,2023,9,297000
13435,Ranch,3,1,936,2017-08-01,2017,8,131000
13436,Cape Cod,3,1,1248,2023-10-24,2023,10,100000
13437,Ranch,3,1,928,2021-08-18,2021,8,160000
13438,Ranch,3,1,936,2021-03-22,2021,3,112000
13439,Townhouse,4,2,2149,2021-08-17,2021,8,80000
13440,Colonial,3,2,1357,2021-09-01,2021,9,250000
13441,Cape Cod,3,2,1507,2021-11-05,2021,11,210000
13443,Ranch,3,2,1109,2020-09-24,2020,9,196000
13448,Cape Cod,4,2,1442,2013-05-01,2013,5,157000
13450,Colonial,3,2,1357,2014-03-01,2014,3,144900
13451,Cape Cod,3,2,1486,2014-08-01,2014,8,162000
13452,Ranch,3,2,1288,2014-12-01,2014,12,130000
13454,Ranch,3,1,941,2015-04-01,2015,4,128900
13455,Duplex N/S,5,2,2129,2015-12-01,2015,12,148000
13456,Ranch,3,1,1109,2017-07-01,2017,7,168900
13457,Ranch,3,1,911,2017-11-01,2017,11,105000
13458,Ranch,3,1,936,2018-05-01,2018,5,147000
13459,Ranch,3,2,1423,2018-08-01,2018,8,155000
13460,Ranch,3,1,911,2018-10-01,2018,10,125000
13462,Cape Cod,3,3,2394,2021-06-09,2021,6,315000
13465,Ranch,3,3,1171,2014-05-01,2014,5,166650
13467,Split Level,3,2,1558,2017-11-01,2017,11,148000
13470,Ranch,3,1,902,2020-01-20,2020,1,157000
13472,Colonial,4,2,2310,2020-09-12,2020,9,145000
13475,Res O/S 2sty +,4,2,2401,2023-04-04,2023,4,540000
13476,Colonial,3,2,1274,2023-09-11,2023,9,268000
13477,Ranch,3,2,879,2023-09-25,2023,9,200000
13478,Ranch,3,2,1114,2022-10-20,2022,10,180000
13479,Cape Cod,3,2,1148,2022-04-27,2022,4,215000
13480,Duplex N/S,3,2,1519,2022-10-17,2022,10,256000
13483,Cape Cod,3,3,1992,2022-10-26,2022,10,280000
13484,Duplex N/S,5,3,2378,2021-12-22,2021,12,150000
13485,Cape Cod,3,1,966,2021-07-23,2021,7,183499
13486,Milwaukee Bungalow,4,1,1644,2021-04-19,2021,4,240000
13487,Milwaukee Bungalow,3,1,1134,2020-07-14,2020,7,150000
13488,Colonial,4,1,1394,2020-05-13,2020,5,138000
13489,Cape Cod,3,2,1148,2020-03-31,2020,3,135000
13490,Ranch,3,2,1613,2020-06-30,2020,6,130000
13491,Cape Cod,4,2,1940,2020-11-04,2020,11,336000
13492,Residence O/S 2sty+,4,2,1665,2020-10-28,2020,10,360000
13493,Ranch,3,2,1176,2020-11-30,2020,11,180000
13494,Ranch,3,2,994,2020-08-20,2020,8,205000
13495,Cape Cod,3,1,1160,2020-11-13,2020,11,220000
13496,Cape Cod,3,1,898,2020-05-25,2020,5,170000
13497,Ranch,3,1,1115,2020-07-29,2020,7,168500
13503,Residence O/S,4,3,1964,2014-07-01,2014,7,404800
13504,Residence O/S,4,2,1512,2014-11-01,2014,11,190000
13505,Split Level,3,2,1414,2015-08-01,2015,8,86000
13506,Cape Cod,3,2,1756,2015-10-01,2015,10,375000
13507,Residence O/S,4,2,1512,2015-11-01,2015,11,225000
13508,Residence O/S,4,2,1665,2016-02-01,2016,2,238000
13509,Ranch,3,1,973,2016-05-01,2016,5,130000
13511,Ranch,3,2,1268,2017-03-01,2017,3,190000
13513,Ranch,3,1,864,2017-07-01,2017,7,90000
13514,Ranch,3,2,1215,2017-12-01,2017,12,188000
13515,Cape Cod,3,1,1373,2017-12-01,2017,12,149100
13517,Ranch,3,2,1161,2018-10-01,2018,10,174000
13518,Ranch,3,1,1221,2020-05-14,2020,5,114100
13519,Ranch,3,1,1150,2023-08-31,2023,8,223000
13520,Ranch,3,1,1048,2023-01-23,2023,1,142000
13521,Ranch,3,1,1048,2023-08-20,2023,8,251000
13523,Ranch,3,1,989,2013-08-01,2013,8,89595
13524,Ranch,3,1,941,2016-02-01,2016,2,97000
13525,Ranch,3,1,989,2016-10-01,2016,10,103000
13526,Ranch,2,2,720,2017-07-01,2017,7,110500
13527,Cape Cod,4,3,2530,2018-02-01,2018,2,306000
13529,Ranch,3,2,1063,2021-05-18,2021,5,280375
13531,Colonial,4,3,2281,2015-08-01,2015,8,258500
13532,Ranch,3,2,1063,2018-02-01,2018,2,200000
13534,Cape Cod,3,2,1504,2018-06-01,2018,6,185000
13535,Townhouse,4,2,2150,2020-09-29,2020,9,88000
13536,Ranch,3,2,1008,2022-07-25,2022,7,179900
13538,Ranch,3,2,1189,2016-05-01,2016,5,171500
13540,Ranch,3,2,1102,2023-01-17,2023,1,209900
13541,Cape Cod,3,1,950,2023-07-28,2023,7,132000
13543,Ranch,3,1,936,2023-06-30,2023,6,127000
13544,Cape Cod,4,2,1174,2023-08-23,2023,8,193000
13545,Ranch,3,3,1102,2023-05-11,2023,5,187000
13546,Cottage,4,1,1058,2023-03-01,2023,3,140000
13547,Duplex O/S,4,2,1843,2023-08-04,2023,8,100000
13548,Triplex,4,3,2656,2023-01-31,2023,1,240000
13549,Duplex O/S,5,2,1783,2023-03-27,2023,3,130000
13551,Res O/S A & 1/2,2,1,870,2023-02-28,2023,2,168000
13552,Cottage,2,1,840,2023-09-06,2023,9,183000
13554,Ranch,2,1,672,2023-06-01,2023,6,163000
13555,Ranch,3,2,864,2023-06-08,2023,6,265000
13556,Ranch,3,2,1189,2023-12-01,2023,12,289900
13557,Ranch,3,1,989,2022-10-06,2022,10,167500
13558,Ranch,3,2,1385,2022-11-11,2022,11,200000
13561,Duplex N/S,5,2,2022,2022-11-28,2022,11,235000
13563,Ranch,3,1,960,2022-08-08,2022,8,175000
13564,Ranch,3,2,1416,2022-01-18,2022,1,180000
13565,Cape Cod,3,1,1256,2022-12-27,2022,12,185000
13566,Cape Cod,2,1,985,2022-04-20,2022,4,222000
13567,Cape Cod,3,2,1432,2022-05-05,2022,5,230000
13571,Duplex O/S,4,2,2194,2022-11-15,2022,11,129900
13574,Cottage,3,1,1070,2022-11-23,2022,11,81000
13576,Duplex-Cottage,5,2,1783,2022-04-14,2022,4,99900
13577,Res O/S 2sty +,5,2,2148,2022-12-29,2022,12,302250
13578,Ranch,3,1,864,2022-06-29,2022,6,131000
13579,Cape Cod,2,2,1810,2022-10-05,2022,10,195000
13580,Ranch,3,2,1115,2022-05-10,2022,5,242000
13581,Ranch,3,1,982,2022-08-30,2022,8,195000
13582,Duplex N/S,5,3,2092,2021-01-21,2021,1,137000
13583,Ranch,3,1,1033,2021-06-18,2021,6,190000
13584,Ranch,3,2,864,2021-08-10,2021,8,150000
13586,Cape Cod,3,2,1338,2021-07-12,2021,7,220000
13588,Cape Cod,3,2,1200,2021-03-17,2021,3,240000
13589,Multiple Residential Bldgs,2,2,2431,2021-12-07,2021,12,110000
13590,Res O/S A & 1/2,5,2,1690,2021-06-04,2021,6,110000
13593,Multiple Residential Bldgs,3,3,2287,2021-05-07,2021,5,105000
13594,Duplex O/S,4,2,1718,2021-04-15,2021,4,387700
13595,Ranch,3,2,1158,2021-02-25,2021,2,132000
13596,Ranch,3,2,970,2021-08-11,2021,8,230000
13597,Ranch,3,2,1185,2021-11-30,2021,11,215000
13598,Ranch,3,1,902,2021-09-02,2021,9,195000
13599,Ranch,3,3,1071,2021-05-17,2021,5,230000
13600,Ranch,3,1,936,2020-06-04,2020,6,138900
13601,Ranch,3,2,1130,2020-04-13,2020,4,150000
13602,Ranch,3,2,1416,2020-09-17,2020,9,155000
13603,Cape Cod,3,1,1092,2020-08-14,2020,8,125000
13604,Cape Cod,3,2,1264,2020-10-15,2020,10,172000
13606,Ranch,3,2,1175,2020-09-30,2020,9,219500
13611,Duplex O/S,4,2,2284,2020-12-09,2020,12,120000
13612,Milwaukee Bungalow,3,2,1638,2020-07-22,2020,7,140000
13615,Colonial,3,4,2600,2020-09-10,2020,9,460000
13616,Ranch,3,2,1156,2020-11-16,2020,11,215000
13617,Ranch,3,1,864,2020-03-27,2020,3,87500
13618,Ranch,3,1,864,2020-10-09,2020,10,127000
13625,Cape Cod,4,2,1174,2019-04-26,2019,4,130000
13641,Colonial,4,3,2016,2013-03-01,2013,3,115000
13643,Cape Cod,3,1,1156,2013-06-01,2013,6,106000
13645,Cape Cod,3,1,1264,2013-09-01,2013,9,115000
13648,Ranch,3,2,1392,2013-11-01,2013,11,120000
13649,Cape Cod,3,2,1824,2014-01-01,2014,1,120000
13650,Cape Cod,3,1,956,2014-03-01,2014,3,104000
13651,Cape Cod,3,1,1006,2014-04-01,2014,4,109400
13653,Cape Cod,4,2,1477,2014-06-01,2014,6,135000
13654,Cape Cod,2,1,856,2014-06-01,2014,6,107000
13655,Cape Cod,3,2,1492,2014-06-01,2014,6,145000
13656,Cape Cod,2,1,892,2015-01-01,2015,1,90000
13657,Cape Cod,3,2,1135,2015-03-01,2015,3,109000
13659,Cape Cod,3,1,1208,2015-04-01,2015,4,102000
13665,Cape Cod,4,2,1145,2015-11-01,2015,11,129000
13667,Ranch,3,2,1463,2016-04-01,2016,4,167000
13668,Ranch,3,2,1156,2016-04-01,2016,4,142500
13669,Ranch,3,2,1189,2016-04-01,2016,4,158500
13670,Cape Cod,3,2,1397,2016-07-01,2016,7,129900
13671,Cape Cod,3,2,1061,2016-07-01,2016,7,100000
13672,Ranch,3,2,1175,2016-07-01,2016,7,183750
13673,Ranch,3,1,1008,2016-07-01,2016,7,119900
13674,Ranch,3,1,1224,2016-07-01,2016,7,137000
13675,Colonial,3,2,1372,2016-07-01,2016,7,170000
13676,Cape Cod,3,2,1432,2016-09-01,2016,9,132000
13677,Colonial,4,2,1892,2016-09-01,2016,9,119900
13679,Milwaukee Bungalow,4,2,1638,2016-10-01,2016,10,122300
13681,Cape Cod,3,2,1070,2016-12-01,2016,12,145000
13683,Cape Cod,4,2,1477,2017-01-01,2017,1,149999
13684,Cape Cod,4,2,1734,2017-05-01,2017,5,103000
13686,Cape Cod,4,2,1547,2017-06-01,2017,6,123000
13687,Cape Cod,3,2,1284,2017-06-01,2017,6,129900
13688,Ranch,2,1,952,2017-06-01,2017,6,111000
13690,Ranch,2,2,764,2017-06-01,2017,6,190000
13691,Cape Cod,3,1,1338,2017-07-01,2017,7,118000
13693,Cape Cod,3,2,1284,2017-10-01,2017,10,119000
13694,Cape Cod,3,1,1264,2017-10-01,2017,10,118000
13696,Duplex O/S,4,2,1998,2017-10-01,2017,10,90000
13698,Cape Cod,3,2,1200,2018-01-01,2018,1,185000
13700,Colonial,3,2,1662,2018-06-01,2018,6,191000
13701,Cape Cod,4,2,1734,2018-07-01,2018,7,129000
13702,Cape Cod,3,2,1170,2018-07-01,2018,7,159900
13703,Ranch,3,2,864,2018-08-01,2018,8,165000
13704,Colonial,4,4,2245,2018-09-01,2018,9,290000
13706,Duplex N/S,5,2,2163,2021-03-10,2021,3,245000
13707,Ranch,3,2,1169,2019-05-31,2019,5,150000
13708,Ranch,3,2,1259,2023-04-26,2023,4,300000
13712,Ranch,3,2,1074,2020-03-10,2020,3,159900
13717,Residence O/S,4,2,2195,2015-12-01,2015,12,256500
13719,Ranch,4,2,1283,2023-07-28,2023,7,200000
13720,Colonial,3,2,1554,2022-05-27,2022,5,347000
13721,Ranch,2,1,1081,2021-02-26,2021,2,152000
13722,Ranch,3,1,864,2021-07-15,2021,7,200000
13723,Ranch,3,2,1153,2021-01-27,2021,1,200000
13724,Ranch,3,1,936,2014-06-01,2014,6,117400
13725,Colonial,3,2,1554,2015-06-01,2015,6,195000
13726,Res O/S A & 1/2,3,1,949,2023-11-20,2023,11,186000
13730,Ranch,3,1,1176,2022-10-28,2022,10,100000
13731,Ranch,3,2,879,2019-12-13,2019,12,147000
13732,Ranch,3,2,1216,2023-11-03,2023,11,265000
13733,Ranch,3,3,1170,2023-10-11,2023,10,252900
13734,Ranch,2,2,999,2020-06-12,2020,6,170000
13735,Cape Cod,4,2,1412,2022-06-24,2022,6,300000
13736,Cape Cod,4,2,1176,2022-06-17,2022,6,280000
13737,Ranch,2,1,1056,2021-08-25,2021,8,155000
13738,Cape Cod,4,2,1259,2020-08-17,2020,8,180000
13740,Cape Cod,3,1,993,2014-10-01,2014,10,134000
13741,Ranch,2,1,894,2016-09-01,2016,9,104500
13742,Cape Cod,3,2,1147,2018-10-01,2018,10,149000
13744,Colonial,3,3,2333,2020-05-28,2020,5,320000
13746,Colonial,3,3,2333,2014-12-01,2014,12,278300
13747,Cape Cod,4,1,1139,2014-02-01,2014,2,146000
13748,Residence O/S,3,3,1750,2016-06-01,2016,6,365000
13749,Residence O/S,3,3,1750,2019-08-22,2019,8,405000
13750,Ranch,2,2,844,2023-11-14,2023,11,127000
13752,Cape Cod,3,2,1271,2022-07-18,2022,7,180000
13754,Ranch,3,1,864,2022-04-25,2022,4,163000
13755,Ranch,3,3,1544,2022-09-08,2022,9,270500
13757,Ranch,3,2,1041,2021-12-28,2021,12,151900
13758,Duplex N/S,5,2,2222,2021-04-20,2021,4,145000
13759,Res O/S 1 Story,3,2,1330,2021-02-05,2021,2,97000
13760,Ranch,3,1,948,2021-02-05,2021,2,147500
13761,Milwaukee Bungalow,5,2,2018,2021-03-02,2021,3,119900
13763,Residence O/S 2sty+,3,2,1274,2021-09-29,2021,9,235000
13764,Ranch,3,2,1152,2020-08-04,2020,8,139900
13765,Ranch,3,1,989,2020-10-26,2020,10,170000
13766,Cape Cod,4,1,1195,2020-11-24,2020,11,136000
13767,Ranch,3,1,1019,2020-12-23,2020,12,137750
13769,Ranch,3,2,1213,2020-11-09,2020,11,206000
13773,Ranch,3,2,879,2019-10-14,2019,10,145000
13776,Cape Cod,3,2,1364,2013-04-01,2013,4,104750
13778,Cape Cod,3,2,1417,2014-01-01,2014,1,100000
13779,Ranch,3,1,977,2014-01-01,2014,1,110000
13780,Milwaukee Bungalow,3,2,1287,2014-01-01,2014,1,254000
13781,Ranch,2,1,1060,2014-05-01,2014,5,156000
13785,Ranch,3,2,1028,2015-03-01,2015,3,120000
13786,Ranch,2,2,1201,2015-09-01,2015,9,137000
13789,Cape Cod,3,2,1035,2016-05-01,2016,5,150000
13790,Residence O/S,3,2,1274,2016-12-01,2016,12,169000
13791,Ranch,3,2,879,2017-06-01,2017,6,138000
13792,Colonial,4,2,1793,2017-08-01,2017,8,165000
13793,Ranch,3,2,1051,2017-10-01,2017,10,148500
13796,Cape Cod,3,2,1417,2018-08-01,2018,8,180000
13798,Cape Cod,4,2,1250,2018-12-01,2018,12,118500
13799,Ranch,3,1,936,2016-08-01,2016,8,111500
13801,Ranch,3,2,991,2013-02-01,2013,2,93000
13802,Ranch,3,2,1082,2023-01-23,2023,1,220000
13803,Ranch,3,2,1082,2014-04-01,2014,4,87000
13804,Cape Cod,3,1,1028,2018-03-01,2018,3,158000
13806,Ranch,3,2,1212,2023-10-17,2023,10,325000
13807,Cape Cod,3,2,1052,2023-05-05,2023,5,230000
13808,Ranch,3,1,942,2023-09-14,2023,9,250000
13809,Ranch,3,2,1137,2022-10-21,2022,10,230000
13810,Ranch,4,2,1288,2021-05-27,2021,5,206000
13811,Ranch,3,2,989,2021-06-21,2021,6,150000
13812,Ranch,3,1,1106,2021-05-28,2021,5,210000
13813,Ranch,3,1,941,2021-02-19,2021,2,189900
13814,Ranch,3,2,1182,2020-11-05,2020,11,189000
13815,Ranch,3,2,1241,2020-07-30,2020,7,125000
13818,Ranch,3,1,941,2013-05-01,2013,5,124000
13819,Ranch,2,1,990,2013-08-01,2013,8,135650
13820,Colonial,3,2,1383,2014-07-01,2014,7,160650
13821,Ranch,3,1,942,2014-08-01,2014,8,108500
13822,Ranch,3,1,969,2015-08-01,2015,8,136500
13823,Ranch,3,2,1268,2016-06-01,2016,6,140000
13825,Ranch,3,2,1032,2018-05-01,2018,5,172000
13826,Colonial,3,2,1623,2018-10-01,2018,10,191500
13827,Cape Cod,3,2,1282,2023-11-27,2023,11,245000
13829,Ranch,3,2,1371,2020-07-29,2020,7,216500
13831,Colonial,3,3,2354,2021-03-12,2021,3,200000
13832,Colonial,3,3,2354,2019-04-15,2019,4,187000
13833,Colonial,3,3,2354,2014-05-01,2014,5,153000
13834,Ranch,3,2,1158,2015-07-01,2015,7,103000
13835,Ranch,3,2,1151,2016-07-01,2016,7,93900
13836,Cape Cod,4,2,1101,2018-10-01,2018,10,210000
13837,Ranch,3,1,912,2022-11-04,2022,11,217000
13838,Cape Cod,3,2,1515,2022-03-18,2022,3,228900
13843,Cape Cod,5,1,1388,2022-08-23,2022,8,148000
13844,Cape Cod,4,2,1238,2022-08-03,2022,8,215000
13846,Ranch,3,1,954,2018-08-01,2018,8,88000
13849,Cape Cod,4,3,2580,2021-03-10,2021,3,330000
13850,Cape Cod,3,3,1318,2021-03-01,2021,3,262000
13851,Res O/S A & 1/2,4,2,1457,2020-12-28,2020,12,152000
13852,Cape Cod,4,3,2580,2020-05-15,2020,5,311300
13853,Cape Cod,3,2,1623,2020-06-24,2020,6,250000
13854,Ranch,3,2,981,2020-07-27,2020,7,164500
13855,Cape Cod,3,2,1598,2019-03-25,2019,3,212000
13856,Cape Cod,3,2,1623,2013-12-01,2013,12,175075
13857,Cape Cod,3,2,1598,2015-05-01,2015,5,198000
13860,Colonial,4,3,2620,2017-05-01,2017,5,254500
13861,Ranch,3,2,1087,2018-03-01,2018,3,157500
13863,Cape Cod,2,1,808,2022-12-08,2022,12,152200
13864,Ranch,3,2,1118,2022-10-06,2022,10,251000
13865,Ranch,2,2,1031,2022-08-31,2022,8,235000
13867,Ranch,3,1,932,2014-08-01,2014,8,103000
13868,Cape Cod,3,2,1251,2016-06-01,2016,6,132500
13870,Ranch,3,2,1371,2017-08-01,2017,8,125000
13871,Cottage,3,2,1165,2017-08-01,2017,8,150000
13872,Residence O/S,2,1,800,2017-12-01,2017,12,115000
13873,Ranch,3,2,1036,2023-03-27,2023,3,250000
13875,Ranch,3,1,1038,2016-08-01,2016,8,158900
13877,Ranch,2,1,919,2023-08-06,2023,8,220000
13878,Duplex N/S,4,2,2328,2022-04-27,2022,4,244000
13879,Cape Cod,4,3,1359,2022-05-23,2022,5,305600
13882,Ranch,3,2,948,2021-03-12,2021,3,147000
13883,Split Level,3,2,1414,2021-11-30,2021,11,175000
13884,Cape Cod,3,2,1088,2021-10-05,2021,10,114900
13887,Ranch,2,1,1128,2014-09-01,2014,9,106500
13888,Ranch,3,2,969,2015-04-01,2015,4,83500
13890,Colonial,3,2,1414,2016-07-01,2016,7,120000
13891,Ranch,3,2,1376,2017-07-01,2017,7,154000
13892,Milwaukee Bungalow,3,2,1963,2021-06-01,2021,6,300000
13894,Duplex N/S,4,2,1998,2018-06-01,2018,6,183800
13895,Ranch,3,2,1060,2017-08-01,2017,8,155000
13896,Ranch,3,2,1009,2019-09-19,2019,9,186500
13897,Ranch,3,1,1013,2018-05-01,2018,5,156000
13898,Ranch,3,2,997,2022-08-05,2022,8,226000
13899,Cape Cod,3,1,1431,2023-05-12,2023,5,245000
13900,Ranch,3,2,1296,2023-08-22,2023,8,233000
13901,Ranch,3,2,1110,2022-04-28,2022,4,172300
13903,Cape Cod,4,1,1225,2022-06-08,2022,6,175000
13904,Ranch,3,2,1161,2022-10-28,2022,10,220000
13905,Triplex,5,3,2402,2021-05-04,2021,5,285700
13906,Res O/S A & 1/2,3,1,1198,2021-05-19,2021,5,165000
13907,Cape Cod,4,1,1077,2020-03-04,2020,3,150500
13908,Ranch,3,1,1122,2020-05-07,2020,5,190000
13909,Ranch,3,1,1040,2020-07-21,2020,7,165500
13913,Colonial,3,3,2776,2019-06-24,2019,6,370000
13917,Ranch,3,1,1025,2013-05-01,2013,5,116000
13918,Residence O/S,3,2,1708,2013-08-01,2013,8,173000
13919,Colonial,3,2,1625,2014-05-01,2014,5,180000
13920,Colonial,3,2,1254,2014-07-01,2014,7,155500
13921,Ranch,3,2,1282,2014-08-01,2014,8,177900
13922,Ranch,3,2,1549,2014-11-01,2014,11,205000
13923,Ranch,2,1,1309,2014-11-01,2014,11,119000
13924,Ranch,3,2,879,2015-05-01,2015,5,107000
13925,Ranch,2,2,944,2015-06-01,2015,6,102000
13926,Ranch,3,2,1189,2015-08-01,2015,8,93500
13927,Duplex N/S,5,2,2647,2016-08-01,2016,8,245000
13928,Cape Cod,3,2,1339,2016-08-01,2016,8,151925
13929,Ranch,3,1,876,2016-09-01,2016,9,117000
13930,Cape Cod,3,2,1336,2016-10-01,2016,10,199900
13931,Duplex O/S,4,3,2696,2016-10-01,2016,10,226500
13933,Ranch,2,1,864,2017-01-01,2017,1,90000
13934,Colonial,3,3,2418,2017-02-01,2017,2,370000
13935,Duplex O/S,5,3,2854,2017-05-01,2017,5,266000
13936,Cape Cod,3,1,1151,2017-08-01,2017,8,128000
13937,Dplx Bungalow,3,2,1258,2017-12-01,2017,12,180000
13938,Cape Cod,3,2,1336,2018-03-01,2018,3,210000
13939,Duplex N/S,4,2,2375,2018-04-01,2018,4,125000
13940,Colonial,3,3,1820,2018-07-01,2018,7,291000
13943,Ranch,3,1,1034,2015-04-01,2015,4,110000
13945,Colonial,3,2,1375,2023-06-28,2023,6,260000
13946,Colonial,3,2,1375,2013-09-01,2013,9,120000
13947,Ranch,3,1,864,2022-09-28,2022,9,114900
13949,Ranch,5,2,1033,2022-03-18,2022,3,185000
13950,Ranch,2,1,839,2022-06-17,2022,6,190000
13951,Ranch,3,2,1223,2021-03-30,2021,3,182000
13952,Cape Cod,2,2,1242,2020-10-23,2020,10,150500
13954,Ranch,3,2,1032,2020-10-30,2020,10,154500
13955,Cape Cod,3,2,1342,2020-11-09,2020,11,175000
13959,Ranch,3,1,1014,2013-01-01,2013,1,133500
13960,Cape Cod,2,2,1242,2015-12-01,2015,12,97000
13961,Cape Cod,4,2,1665,2017-02-01,2017,2,190000
13962,Ranch,3,1,1176,2017-05-01,2017,5,129900
13964,Dplx Bungalow,4,2,1873,2020-01-29,2020,1,210000
13968,Cape Cod,3,1,1341,2016-10-01,2016,10,165000
13970,Ranch,3,3,1447,2015-08-01,2015,8,211000
13973,Cape Cod,5,2,1596,2023-01-18,2023,1,179900
13974,Split Level,3,2,1414,2022-04-29,2022,4,185000
13975,Ranch,3,1,908,2022-11-15,2022,11,89000
13976,Cape Cod,2,1,866,2022-08-05,2022,8,134000
13977,Cape Cod,2,2,1120,2022-06-29,2022,6,118500
13978,Ranch,3,2,1026,2021-04-05,2021,4,95000
13981,Split Level,3,2,1414,2020-11-17,2020,11,158000
13986,Ranch,3,1,1082,2020-05-19,2020,5,104900
13988,Ranch,3,2,1042,2019-07-08,2019,7,96425
13992,Split Level,4,2,1812,2014-09-01,2014,9,103000
13996,Split Level,4,2,1614,2015-05-01,2015,5,90000
13999,Split Level,3,2,2144,2016-10-01,2016,10,135000
14000,Ranch,3,2,1044,2018-08-01,2018,8,83600
14001,Split Level,4,2,1514,2018-11-01,2018,11,126000
14003,Cape Cod,3,1,1047,2014-09-01,2014,9,121000
14005,Ranch,3,2,1328,2020-07-23,2020,7,231000
14006,Ranch,3,2,1143,2023-08-14,2023,8,201500
14007,Cape Cod,3,2,1386,2023-04-11,2023,4,260000
14008,Ranch,4,2,1144,2023-08-03,2023,8,108000
14009,Dplx Bungalow,4,2,1838,2023-02-27,2023,2,320000
14010,Res O/S A & 1/2,3,2,1665,2023-06-20,2023,6,305000
14011,Ranch,3,2,1049,2022-07-28,2022,7,164000
14012,Ranch,3,2,970,2022-04-13,2022,4,199900
14013,Cape Cod,2,2,1276,2022-11-04,2022,11,205500
14014,Cape Cod,3,1,1103,2021-05-12,2021,5,181500
14015,Residence O/S 2sty+,4,2,2669,2021-10-06,2021,10,228000
14016,Ranch,3,1,1055,2021-05-14,2021,5,191500
14017,Cape Cod,3,2,1588,2020-04-06,2020,4,249500
14019,Ranch,3,2,1019,2019-08-14,2019,8,135600
14021,Cape Cod,2,1,768,2014-09-01,2014,9,91000
14022,Colonial,3,3,2030,2015-06-01,2015,6,252000
14023,Cape Cod,2,2,1276,2015-07-01,2015,7,124000
14024,Duplex O/S,3,2,1657,2016-03-01,2016,3,107000
14025,Colonial,3,2,1639,2016-05-01,2016,5,199900
14026,Cape Cod,3,2,1588,2016-08-01,2016,8,222900
14027,Colonial,4,3,2047,2017-05-01,2017,5,214000
14028,Duplex O/S,3,2,1665,2017-05-01,2017,5,160000
