Bdrms,Baths_total,FinishedSqft,Lotsize,Sale_date,Year_Built,Sale_Year,Sale_price
4,1,1321,2820,2017-08-01,1924.0,2017,127500
3,1,1243,2820,2022-07-11,1924.0,2022,133000
3,1,1742,2820,2021-07-21,1923.0,2021,175000
4,1,1446,2838,2017-11-01,1922.0,2017,202000
4,1,1446,2838,2021-12-06,1922.0,2021,343000
3,1,1398,2850,2015-10-01,1926.0,2015,100000
3,1,1398,2850,2013-01-01,1926.0,2013,110000
3,2,1074,2850,2023-12-28,1928.0,2023,137000
3,2,1220,2854,2016-01-01,1954.0,2016,86000
4,1,1140,2880,2020-01-03,1924.0,2020,101000
3,2,1307,2880,2021-03-03,1895.0,2021,120000
4,2,1570,2880,2022-10-19,1900.0,2022,125000
4,2,3062,2880,2022-01-07,1906.0,2022,143000
4,2,1433,2880,2022-09-23,1907.0,2022,165000
6,2,1418,2880,2022-01-26,1900.0,2022,175000
5,2,2130,2880,2022-05-13,1907.0,2022,230000
4,2,1564,2880,2020-06-15,1924.0,2020,230000
4,1,1140,2895,2023-04-07,1914.0,2023,188750
3,1,1320,2914,2021-07-28,1921.0,2021,168800
3,1,1110,2940,2023-08-22,1900.0,2023,99900
2,1,1068,2940,2020-03-17,1921.0,2020,118800
2,1,1326,2940,2017-12-01,1925.0,2017,136000
3,2,1420,2952,2016-03-01,1927.0,2016,159900
3,1,1081,2960,2017-08-01,1924.0,2017,139900
4,1,1348,2975,2017-02-01,1916.0,2017,110000
2,1,841,2975,2020-12-07,1949.0,2020,150000
2,1,841,2975,2023-12-14,1949.0,2023,218000
3,1,1256,2989,2016-04-01,1951.0,2016,88000
3,1,1256,2989,2016-06-01,1953.0,2016,95000
4,1,1143,2989,2023-12-04,1951.0,2023,178000
3,2,1456,2989,2023-12-13,1952.0,2023,190000
4,1,1446,3000,2017-05-01,1923.0,2017,83000
4,1,1275,3000,2020-07-31,1897.0,2020,108000
4,1,1781,3000,2022-11-30,1908.0,2022,121500
4,2,1302,3000,2022-10-24,1900.0,2022,130000
3,1,1382,3000,2020-10-30,1900.0,2020,135000
4,1,1424,3000,2022-12-13,1895.0,2022,143000
3,2,1118,3000,2022-01-13,1896.0,2022,145000
6,2,1747,3000,2020-11-06,1900.0,2020,173900
3,1,1148,3000,2020-08-21,1900.0,2020,199000
2,1,1324,3000,2023-11-16,1955.0,2023,215000
8,2,2357,3000,2022-02-18,1890.0,2022,216000
2,1,1098,3000,2023-04-28,1898.0,2023,255000
3,2,1118,3000,2022-06-01,1896.0,2022,268000
2,1,1412,3000,2022-04-01,1890.0,2022,309000
3,2,1122,3000,2023-04-14,1912.0,2023,380000
3,1,1122,3030,2023-01-27,1892.0,2023,109500
6,1,1386,3060,2022-12-06,1908.0,2022,130000
2,1,850,3060,2023-06-07,1900.0,2023,141000
3,1,1140,3060,2022-06-28,1924.0,2022,285000
